ฤเ๒เ;ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
2008.01.10;-20;765;ย 2์/๑;-22;765;ย 2์/๑
2008.01.11;-20;764;-;-24;764;-
2008.01.12;-20;762;ว 2์/๑;-20;761;ว 2์/๑
2008.01.13;-9;756;Þว 3์/๑;-7;754;Þว 3์/๑
2008.01.14;-6;751;Þว 2์/๑;-4;752;Þว 2์/๑
2008.01.15;-1;753;ว 1์/๑;-2;754;ว 1์/๑
2008.01.16;-1;759;-;-2;762;-
2008.01.17;-4;765;Þ 3์/๑;-4;765;Þ 3์/๑
2008.01.18;-8;765;Þ 1์/๑;-10;765;Þ 1์/๑
2008.01.19;-9;765;-;-12;765;-
2008.01.20;-9;762;Þ 3์/๑;-14;762;Þ 3์/๑
2008.01.21;-15;759;ย 2์/๑;-17;759;ย 2์/๑
2008.01.22;-13;753;ย 4์/๑;-11;751;ย 4์/๑
2008.01.23;-9;751;Þ 3์/๑;-9;751;Þ 3์/๑
2008.01.24;-11;750;ย 3์/๑;-10;751;ย 3์/๑
2008.01.25;-8;753;ย 1์/๑;-10;751;ย 1์/๑
2008.01.26;-4;742;Þ 2์/๑;-3;741;Þ 2์/๑
2008.01.27;-1;735;ย 2์/๑;-2;735;ย 2์/๑
2008.01.28;-1;741;Þย 3์/๑;-3;744;Þย 3์/๑
2008.01.29;-4;749;Þ 1์/๑;-5;750;Þ 1์/๑
2008.01.30;-6;753;ั 1์/๑;-5;753;ั 1์/๑
2008.01.31;-7;753;ย 1์/๑;-11;753;ย 1์/๑
2008.02.01;-11;753;Þย 1์/๑;-14;753;Þย 1์/๑
2008.02.02;-12;756;ย 1์/๑;-11;758;ย 1์/๑
2008.02.03;-6;756;ย 1์/๑;-5;754;ย 1์/๑
2008.02.04;-3;756;ว 4์/๑;-2;754;ว 4์/๑
2008.02.05;-1;759;ว 1์/๑;-9;760;ว 1์/๑
2008.02.06;-6;760;ว 2์/๑;-9;761;ว 2์/๑
2008.02.07;-8;765;-;-6;767;-
2008.02.08;-10;773;ย 2์/๑;-15;773;ย 2์/๑
2008.02.09;-14;774;Þว 3์/๑;-18;772;Þว 3์/๑
2008.02.10;-12;762;Þว 3์/๑;-11;762;Þว 3์/๑
2008.02.11;-3;760;Þว 1์/๑;-3;762;Þว 1์/๑
2008.02.12;-5;763;Þว 1์/๑;-7;763;Þว 1์/๑
2008.02.13;-4;758;Þว 4์/๑;-6;755;Þว 4์/๑
2008.02.14;-6;746;Þว 4์/๑;-9;744;Þว 4์/๑
2008.02.15;-13;744;ย 2์/๑;-13;741;ย 2์/๑
2008.02.16;-10;741;Þว 2์/๑;-17;744;Þว 2์/๑
2008.02.17;-11;750;ว 2์/๑;-16;753;ว 2์/๑
2008.02.18;-14;751;Þว 3์/๑;-15;750;Þว 3์/๑
2008.02.19;-13;746;Þย 2์/๑;-14;744;Þย 2์/๑
2008.02.20;-8;735;ัว 2์/๑;-13;735;ัว 2์/๑
2008.02.21;-8;740;ัว 4์/๑;-10;744;ัว 4์/๑
2008.02.22;-7;750;ว 3์/๑;-8;746;ว 3์/๑
2008.02.23;+1;734;Þว 4์/๑;+1;732;Þว 4์/๑
2008.02.24;+3;739;Þว 3์/๑;+1;741;Þว 3์/๑
2008.02.25;0;741;Þว 4์/๑;+1;738;Þว 4์/๑
2008.02.26;0;728;Þว 3์/๑;+1;735;Þว 3์/๑
2008.02.27;+2;744;ว 3์/๑;0;745;ว 3์/๑
2008.02.28;+2;741;Þว 3์/๑;+1;740;Þว 3์/๑
2008.02.29;+2;738;Þว 3์/๑;+1;740;Þว 3์/๑
2008.03.01;+3;743;Þ 3์/๑;+2;742;Þ 3์/๑
2008.03.02;+2;738;ย 3์/๑;+3;737;ย 3์/๑
2008.03.03;+2;736;Þ 2์/๑;+1;738;Þ 2์/๑
2008.03.04;+1;735;ย 1์/๑;0;735;ย 1์/๑
2008.03.05;+1;744;ว 3์/๑;-1;748;ว 3์/๑
2008.03.06;+1;750;Þว 5์/๑;-1;751;Þว 5์/๑
2008.03.07;+2;747;Þว 4์/๑;0;744;Þว 4์/๑
2008.03.08;+2;742;ว 2์/๑;0;746;ว 2์/๑
2008.03.09;+1;753;ั 2์/๑;-3;754;ั 2์/๑
2008.03.10;-2;752;ัย 3์/๑;-4;752;ัย 3์/๑
2008.03.11;0;752;ั 2์/๑;-4;752;ั 2์/๑
2008.03.12;0;751;Þย 2์/๑;-3;750;Þย 2์/๑
2008.03.13;+3;746;Þ 2์/๑;-1;746;Þ 2์/๑
2008.03.14;+4;744;-;-1;744;-
2008.03.15;+4;741;ย 1์/๑;+1;741;ย 1์/๑
2008.03.16;0;738;ย 1์/๑;-1;744;ย 1์/๑
2008.03.17;+2;735;Þว 3์/๑;+1;737;Þว 3์/๑
2008.03.18;0;737;ย 2์/๑;+1;735;ย 2์/๑
2008.03.19;+4;741;Þย 1์/๑;+2;738;Þย 1์/๑
2008.03.20;+4;746;Þว 4์/๑;+2;740;Þว 4์/๑
2008.03.21;+5;741;Þว 4์/๑;+3;740;Þว 4์/๑
2008.03.22;+2;738;ว 1์/๑;+1;742;ว 1์/๑
2008.03.23;+3;748;Þ 1์/๑;+2;748;Þ 1์/๑
2008.03.24;+4;745;Þย 2์/๑;+2;747;Þย 2์/๑
2008.03.25;+10;744;ย 2์/๑;+5;742;ย 2์/๑
2008.03.26;+15;738;ย 3์/๑;+10;741;ย 3์/๑
2008.03.27;+12;746;Þว 2์/๑;+10;747;Þว 2์/๑
2008.03.28;+8;756;ว 2์/๑;+5;758;ว 2์/๑
2008.03.29;+9;759;ั 2์/๑;+5;759;ั 2์/๑
2008.03.30;+7;754;ั 4์/๑;+5;753;ั 4์/๑
2008.03.31;+10;753;ั 2์/๑;+5;753;ั 2์/๑
2008.04.01;+11;752;ัย 4์/๑;+5;752;ัย 4์/๑
2008.04.02;+10;749;ัย 3์/๑;+6;749;ัย 3์/๑
2008.04.03;+15;748;ัย 4์/๑;+10;749;ัย 4์/๑
2008.04.04;+17;746;ัย 2์/๑;+11;747;ัย 2์/๑
2008.04.05;+17;747;ย 2์/๑;+14;748;ย 2์/๑
2008.04.06;+20;753;Þว 2์/๑;+16;753;Þว 2์/๑
2008.04.07;+20;755;Þ 3์/๑;+16;756;Þ 3์/๑
2008.04.08;+19;755;Þ 3์/๑;+14;754;Þ 3์/๑
2008.04.09;+20;753;Þ 3์/๑;+15;753;Þ 3์/๑
2008.04.10;+21;752;Þ 2์/๑;+17;752;Þ 2์/๑
2008.04.11;+22;750;Þ 3์/๑;+14;750;Þ 3์/๑
2008.04.12;+21;747;Þว 2์/๑;+17;747;Þว 2์/๑
2008.04.13;+20;747;ั 2์/๑;+13;748;ั 2์/๑
2008.04.14;+9;743;ย 4์/๑;+5;740;ย 4์/๑
2008.04.15;+8;747;ย 3์/๑;+3;752;ย 3์/๑
2008.04.16;+8;758;ย 2์/๑;+5;759;ย 2์/๑
2008.04.17;+11;759;Þย 3์/๑;+7;758;Þย 3์/๑
2008.04.18;+12;756;Þย 4์/๑;+9;754;Þย 4์/๑
2008.04.19;+12;753;Þย 2์/๑;+10;751;Þย 2์/๑
2008.04.20;+15;748;ว 2์/๑;+10;748;ว 2์/๑
2008.04.21;+19;746;Þ 2์/๑;+14;746;Þ 2์/๑
2008.04.22;+18;742;ว 2์/๑;+13;742;ว 2์/๑
2008.04.23;+9;746;ัว 3์/๑;+9;747;ัว 3์/๑
2008.04.24;+4;742;ั 2์/๑;+5;744;ั 2์/๑
2008.04.25;+13;750;Þว 3์/๑;+11;752;Þว 3์/๑
2008.04.26;+16;752;Þว 3์/๑;+10;753;Þว 3์/๑
2008.04.27;+14;755;ัว 4์/๑;+8;753;ัว 4์/๑
2008.04.28;+15;752;ว 1์/๑;+9;752;ว 1์/๑
2008.04.29;+17;752;ัว 2์/๑;+12;753;ัว 2์/๑
2008.04.30;+20;754;ว 2์/๑;+15;755;ว 2์/๑
2008.05.01;+21;752;ว 2์/๑;+16;750;ว 2์/๑
2008.05.02;+14;751;ัย 4์/๑;+8;753;ัย 4์/๑
2008.05.03;+13;754;ั 4์/๑;+9;754;ั 4์/๑
2008.05.04;+15;755;ัย 2์/๑;+8;754;ัย 2์/๑
2008.05.05;+17;752;ว 1์/๑;+11;751;ว 1์/๑
2008.05.06;+19;746;ว 2์/๑;+14;744;ว 2์/๑
2008.05.07;+20;742;ว 2์/๑;+16;743;ว 2์/๑
2008.05.08;+20;741;ั 3์/๑;+15;743;ั 3์/๑
2008.05.09;+19;746;ว 2์/๑;+12;748;ว 2์/๑
2008.05.10;+20;751;ว 2์/๑;+14;752;ว 2์/๑
2008.05.11;+24;748;ย 3์/๑;+19;748;ย 3์/๑
2008.05.12;+24;745;ั 2์/๑;+15;745;ั 2์/๑
2008.05.13;+21;744;Þว 3์/๑;+15;744;Þว 3์/๑
2008.05.14;+12;738;ย 1์/๑;+11;736;ย 1์/๑
2008.05.15;+10;741;Þว 4์/๑;+7;744;Þว 4์/๑
2008.05.16;+13;749;ว 3์/๑;+11;750;ว 3์/๑
2008.05.17;+21;749;Þว 3์/๑;+18;749;Þว 3์/๑
2008.05.18;+22;751;ว 1์/๑;+18;752;ว 1์/๑
2008.05.19;+27;752;Þว 3์/๑;+21;752;Þว 3์/๑
2008.05.20;+29;752;Þว 2์/๑;+21;751;Þว 2์/๑
2008.05.21;+29;750;Þว 1์/๑;+21;750;Þว 1์/๑
2008.05.22;+29;748;Þว 1์/๑;+19;748;Þว 1์/๑
2008.05.23;+18;751;ั 4์/๑;+17;752;ั 4์/๑
2008.05.24;+20;748;ย 2์/๑;+22;745;ย 2์/๑
2008.05.25;+25;744;ว 2์/๑;+20;743;ว 2์/๑
2008.05.26;+22;739;ัว 2์/๑;+16;741;ัว 2์/๑
2008.05.27;+17;744;ั 2์/๑;+15;744;ั 2์/๑
2008.05.28;+10;742;ั 3์/๑;+9;741;ั 3์/๑
2008.05.29;+11;738;ัว 2์/๑;+10;739;ัว 2์/๑
2008.05.30;+19;740;ว 2์/๑;+13;741;ว 2์/๑
2008.05.31;+12;740;ัย 1์/๑;+12;740;ัย 1์/๑
2008.06.01;+16;742;ว 2์/๑;+11;744;ว 2์/๑
2008.06.02;+13;747;ว 1์/๑;+11;748;ว 1์/๑
2008.06.03;+19;747;-;+12;748;-
2008.06.04;+19;746;ว 1์/๑;+16;746;ว 1์/๑
2008.06.05;+16;739;Þว 3์/๑;+12;740;Þว 3์/๑
2008.06.06;+14;743;ัว 3์/๑;+11;743;ัว 3์/๑
2008.06.07;+12;744;ั 3์/๑;+8;746;ั 3์/๑
2008.06.08;+9;749;ั 3์/๑;+7;749;ั 3์/๑
2008.06.09;+14;748;Þว 4์/๑;+14;746;Þว 4์/๑
2008.06.10;+21;741;Þว 4์/๑;+16;741;Þว 4์/๑
2008.06.11;+20;746;Þว 2์/๑;+16;745;Þว 2์/๑
2008.06.12;+28;747;ว 2์/๑;+23;746;ว 2์/๑
2008.06.13;+27;747;ย 1์/๑;+22;745;ย 1์/๑
2008.06.14;+26;745;ั 1์/๑;+22;744;ั 1์/๑
2008.06.15;+27;744;ั 3์/๑;+23;744;ั 3์/๑
2008.06.16;+30;745;Þย 1์/๑;+24;745;Þย 1์/๑
2008.06.17;+25;746;-;+22;744;-
2008.06.18;+27;744;ว 1์/๑;+23;744;ว 1์/๑
2008.06.19;+27;745;ั 1์/๑;+22;746;ั 1์/๑
2008.06.20;+23;747;ัย 3์/๑;+21;748;ัย 3์/๑
2008.06.21;+26;747;ัย 3์/๑;+23;746;ัย 3์/๑
2008.06.22;+31;742;ย 3์/๑;+26;741;ย 3์/๑
2008.06.23;+25;741;Þว 2์/๑;+21;741;Þว 2์/๑
2008.06.24;+22;740;ัย 2์/๑;+20;739;ัย 2์/๑
2008.06.25;+17;738;ย 1์/๑;+17;738;ย 1์/๑
2008.06.26;+20;740;ว 2์/๑;+15;742;ว 2์/๑
2008.06.27;+20;745;ัว 3์/๑;+15;746;ัว 3์/๑
2008.06.28;+23;747;ัว 2์/๑;+16;747;ัว 2์/๑
2008.06.29;+21;744;Þว 2์/๑;+16;744;Þว 2์/๑
2008.06.30;+21;739;ย 1์/๑;+19;738;ย 1์/๑
2008.07.01;+19;738;ว 1์/๑;+17;738;ว 1์/๑
2008.07.02;+21;738;-;+18;738;-
2008.07.03;+21;738;ั 2์/๑;+19;738;ั 2์/๑
