Дата;День_температура;День_давление;День_ветер;Вечер_температура;Вечер_давление;Вечер_ветер
2018.12.14;-3.0;751;В 4м/с;-3.0;751.0;В 4м/с
2018.12.15;-1.0;755;СВ 3м/с;-3.0;757.0;СВ 3м/с
2018.12.16;-8.0;761;С 2м/с;-8.0;762.0;С 2м/с
2018.12.17;-6.0;763;-;-6.0;764.0;-
2018.12.18;-8.0;765;В 1м/с;-9.0;766.0;В 1м/с
2018.12.19;-9.0;767;В 1м/с;-10.0;768.0;В 1м/с
2018.12.20;-10.0;769;В 2м/с;-10.0;768.0;В 2м/с
