Дата;День_температура;День_давление;День_ветер;Вечер_температура;Вечер_давление;Вечер_ветер
2018.05.23;25.0;758;З 1м/с;17.0;756.0;З 1м/с
2018.05.24;26.0;752;СВ 2м/с;21.0;749.0;СВ 2м/с
2018.05.25;15.0;749;С 2м/с;10.0;752.0;С 2м/с
2018.05.26;13.0;758;С 3м/с;11.0;759.0;С 3м/с
2018.05.27;19.0;755;З 3м/с;17.0;752.0;З 3м/с
2018.05.28;15.0;752;СЗ 2м/с;9.0;754.0;СЗ 2м/с
2018.05.29;17.0;754;З 3м/с;16.0;751.0;З 3м/с
