Дата;День_температура;День_давление;День_ветер;Вечер_температура;Вечер_давление;Вечер_ветер
2019.12.13;-9.0;758;В 1м/с;-12.0;759.0;В 1м/с
2019.12.14;-10.0;761;В 3м/с;-12.0;761.0;В 3м/с
2019.12.15;-5.0;758;В 3м/с;-5.0;758.0;В 3м/с
2019.12.16;-5.0;752;ЮВ 2м/с;-3.0;751.0;ЮВ 2м/с
2019.12.17;0.0;749;ЮЗ 2м/с;1.0;749.0;ЮЗ 2м/с
2019.12.18;1.0;749;З 2м/с;1.0;750.0;З 2м/с
2019.12.19;2.0;739;З 3м/с;1.0;736.0;З 3м/с
