Дата;День_температура;День_давление;День_ветер;Вечер_температура;Вечер_давление;Вечер_ветер
2011.03.24;1.0;730;ЮЗ 5м/с;-1.0;728.0;ЮЗ 5м/с
2011.03.25;-3.0;727;З 5м/с;-5.0;731.0;З 5м/с
2011.03.26;-2.0;741;З 5м/с;-6.0;741.0;З 5м/с
2011.03.27;-3.0;748;ЮЗ 5м/с;-7.0;752.0;ЮЗ 5м/с
2011.03.28;-2.0;758;З 2м/с;-7.0;758.0;З 2м/с
2011.03.29;-3.0;755;Ю 3м/с;-5.0;752.0;Ю 3м/с
2011.03.30;2.0;750;ЮВ 1м/с;-1.0;751.0;ЮВ 1м/с
