Дата;День_температура;День_давление;День_ветер;Вечер_температура;Вечер_давление;Вечер_ветер
2014.09.21;20.0;754;З 2м/с;10.0;754.0;З 2м/с
2014.09.22;20.0;752;ЮВ 1м/с;10.0;752.0;ЮВ 1м/с
2014.09.23;17.0;749;В 2м/с;14.0;747.0;В 2м/с
2014.09.24;24.0;743;В 2м/с;17.0;743.0;В 2м/с
2014.09.25;16.0;745;-;13.0;746.0;-
2014.09.26;17.0;749;СЗ 1м/с;14.0;750.0;СЗ 1м/с
2014.09.27;19.0;750;ЮВ 1м/с;15.0;749.0;ЮВ 1м/с
