Дата;День_температура;День_давление;День_ветер;Вечер_температура;Вечер_давление;Вечер_ветер
2010.01.21;-15.0;767;-;-19.0;765.0;-
2010.01.22;-20.0;763;-;-26.0;764.0;-
2010.01.23;-22.0;762;-;-27.0;762.0;-
2010.01.24;-19.0;761;-;-21.0;760.0;-
2010.01.25;-14.0;761;В 2м/с;-13.0;761.0;В 2м/с
2010.01.26;-7.0;761;В 4м/с;-10.0;764.0;В 4м/с
2010.01.27;-12.0;762;В 3м/с;-15.0;759.0;В 3м/с
