Дата;День_температура;День_давление;День_ветер;Вечер_температура;Вечер_давление;Вечер_ветер
2017.04.30;25.0;761;З 3м/с;17.0;760.0;З 3м/с
2017.05.01;26.0;760;ЮВ 3м/с;21.0;759.0;ЮВ 3м/с
2017.05.02;25.0;757;Ю 3м/с;19.0;755.0;Ю 3м/с
2017.05.03;27.0;749;ЮЗ 4м/с;18.0;749.0;ЮЗ 4м/с
2017.05.04;17.0;750;С 3м/с;11.0;751.0;С 3м/с
2017.05.05;10.0;749;СЗ 4м/с;7.0;748.0;СЗ 4м/с
2017.05.06;17.0;740;З 4м/с;14.0;740.0;З 4м/с
