Дата;День_температура;День_давление;День_ветер;Вечер_температура;Вечер_давление;Вечер_ветер
2016.05.15;8.0;747;В 2м/с;8.0;748.0;В 2м/с
2016.05.16;15.0;748;В 3м/с;13.0;749.0;В 3м/с
2016.05.17;18.0;750;ЮВ 3м/с;15.0;752.0;ЮВ 3м/с
2016.05.18;17.0;752;В 3м/с;13.0;752.0;В 3м/с
2016.05.19;24.0;751;В 2м/с;20.0;750.0;В 2м/с
2016.05.20;17.0;748;З 1м/с;16.0;749.0;З 1м/с
2016.05.21;20.0;748;В 2м/с;14.0;749.0;В 2м/с
