Дата;День_температура;День_давление;День_ветер;Вечер_температура;Вечер_давление;Вечер_ветер
2010.02.18;-9.0;751;З 1м/с;-14.0;751.0;З 1м/с
2010.02.19;-11.0;746;З 3м/с;-12.0;748.0;З 3м/с
2010.02.20;-4.0;745;З 2м/с;-8.0;746.0;З 2м/с
2010.02.21;-12.0;743;В 3м/с;-12.0;743.0;В 3м/с
2010.02.22;-9.0;743;В 4м/с;-10.0;743.0;В 4м/с
2010.02.23;-7.0;743;В 3м/с;-8.0;745.0;В 3м/с
2010.02.24;-5.0;746;СВ 2м/с;-6.0;747.0;СВ 2м/с
