Дата;День_температура;День_давление;День_ветер;Вечер_температура;Вечер_давление;Вечер_ветер
2017.10.08;15.0;755;ЮВ 1м/с;10.0;755.0;ЮВ 1м/с
2017.10.09;17.0;755;В 2м/с;9.0;755.0;В 2м/с
2017.10.10;17.0;752;ЮВ 2м/с;11.0;752.0;ЮВ 2м/с
2017.10.11;11.0;752;З 1м/с;7.0;752.0;З 1м/с
2017.10.12;12.0;752;Ю 1м/с;6.0;751.0;Ю 1м/с
2017.10.13;11.0;749;ЮВ 1м/с;10.0;748.0;ЮВ 1м/с
2017.10.14;10.0;745;В 2м/с;10.0;743.0;В 2м/с
