Дата;День_температура;День_давление;День_ветер;Вечер_температура;Вечер_давление;Вечер_ветер
2021.04.30;16.0;755;З 2м/с;14.0;753.0;З 2м/с
2021.05.01;16.0;749;Ю 2м/с;16.0;747.0;Ю 2м/с
2021.05.02;18.0;751;З 2м/с;14.0;752.0;З 2м/с
2021.05.03;24.0;749;Ю 2м/с;20.0;747.0;Ю 2м/с
2021.05.04;26.0;740;ЮЗ 3м/с;16.0;740.0;ЮЗ 3м/с
2021.05.05;11.0;745;З 3м/с;11.0;747.0;З 3м/с
2021.05.06;21.0;751;З 3м/с;17.0;750.0;З 3м/с
