ฤเ๒เ;ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
2013.01.01;-8.0;750;ว 1์/๑;-10.0;752.0;ว 1์/๑
2013.01.02;-10.0;756;ว 1์/๑;-12.0;755.0;ว 1์/๑
2013.01.03;-8.0;751;ย 2์/๑;-5.0;749.0;ย 2์/๑
2013.01.04;-1.0;744;ว 3์/๑;-1.0;745.0;ว 3์/๑
2013.01.05;-1.0;746;ว 2์/๑;-3.0;746.0;ว 2์/๑
2013.01.06;-5.0;748;ย 2์/๑;-4.0;748.0;ย 2์/๑
2013.01.07;-5.0;752;ย 2์/๑;-6.0;753.0;ย 2์/๑
2013.01.08;-8.0;752;ย 2์/๑;-9.0;751.0;ย 2์/๑
2013.01.09;-7.0;745;ั 3์/๑;-10.0;745.0;ั 3์/๑
2013.01.10;-10.0;747;ั 1์/๑;-13.0;747.0;ั 1์/๑
2013.01.11;-13.0;750;-;-17.0;751.0;-
2013.01.12;-16.0;753;ว 2์/๑;-18.0;753.0;ว 2์/๑
2013.01.13;-12.0;746;ว 2์/๑;-12.0;745.0;ว 2์/๑
2013.01.14;-10.0;746;ว 3์/๑;-11.0;747.0;ว 3์/๑
2013.01.15;-5.0;749;ว 2์/๑;-8.0;751.0;ว 2์/๑
2013.01.16;-7.0;753;ว 2์/๑;-9.0;753.0;ว 2์/๑
2013.01.17;-10.0;753;Þย 3์/๑;-10.0;754.0;Þย 3์/๑
2013.01.18;-7.0;751;Þย 3์/๑;-7.0;749.0;Þย 3์/๑
2013.01.19;-5.0;746;Þ 2์/๑;-4.0;746.0;Þ 2์/๑
2013.01.20;1.0;743;Þ 1์/๑;1.0;743.0;Þ 1์/๑
2013.01.21;-3.0;742;Þ 1์/๑;-3.0;739.0;Þ 1์/๑
2013.01.22;-9.0;738;ว 3์/๑;-14.0;741.0;ว 3์/๑
2013.01.23;-13.0;745;ว 2์/๑;-15.0;745.0;ว 2์/๑
2013.01.24;-11.0;743;ัย 2์/๑;-11.0;741.0;ัย 2์/๑
2013.01.25;-11.0;743;ว 3์/๑;-15.0;746.0;ว 3์/๑
2013.01.26;-12.0;756;ว 1์/๑;-19.0;758.0;ว 1์/๑
2013.01.27;-15.0;760;ว 2์/๑;-19.0;760.0;ว 2์/๑
2013.01.28;-14.0;761;ย 1์/๑;-18.0;762.0;ย 1์/๑
2013.01.29;-15.0;759;ย 2์/๑;-18.0;759.0;ย 2์/๑
2013.01.30;-13.0;757;ย 3์/๑;-11.0;756.0;ย 3์/๑
2013.01.31;-4.0;749;ย 4์/๑;-5.0;747.0;ย 4์/๑
2013.02.01;-5.0;743;ัว 1์/๑;-12.0;743.0;ัว 1์/๑
2013.02.02;-8.0;747;ย 1์/๑;-8.0;750.0;ย 1์/๑
2013.02.03;-3.0;754;Þย 1์/๑;-2.0;755.0;Þย 1์/๑
2013.02.04;-1.0;749;Þย 3์/๑;-2.0;745.0;Þย 3์/๑
2013.02.05;0.0;745;Þว 3์/๑;-1.0;747.0;Þว 3์/๑
2013.02.06;-1.0;754;ว 2์/๑;-5.0;756.0;ว 2์/๑
2013.02.07;-4.0;761;Þย 2์/๑;-7.0;761.0;Þย 2์/๑
2013.02.08;-5.0;763;Þย 2์/๑;-7.0;764.0;Þย 2์/๑
2013.02.09;-5.0;766;ย 2์/๑;-9.0;766.0;ย 2์/๑
2013.02.10;-6.0;764;Þย 2์/๑;-7.0;764.0;Þย 2์/๑
2013.02.11;-6.0;762;Þย 3์/๑;-8.0;762.0;Þย 3์/๑
2013.02.12;-4.0;761;Þย 2์/๑;-7.0;762.0;Þย 2์/๑
2013.02.13;-4.0;763;Þย 1์/๑;-8.0;763.0;Þย 1์/๑
2013.02.14;-6.0;765;ย 2์/๑;-9.0;764.0;ย 2์/๑
2013.02.15;-5.0;762;ย 3์/๑;-8.0;761.0;ย 3์/๑
2013.02.16;-6.0;757;ย 4์/๑;-6.0;755.0;ย 4์/๑
2013.02.17;-1.0;753;ย 3์/๑;-3.0;753.0;ย 3์/๑
2013.02.18;-5.0;750;Þย 2์/๑;-9.0;749.0;Þย 2์/๑
2013.02.19;-6.0;750;Þย 2์/๑;-9.0;751.0;Þย 2์/๑
2013.02.20;-9.0;753;ว 2์/๑;-13.0;754.0;ว 2์/๑
2013.02.21;-8.0;755;Þว 2์/๑;-10.0;755.0;Þว 2์/๑
2013.02.22;-8.0;753;ว 2์/๑;-12.0;753.0;ว 2์/๑
2013.02.23;-7.0;758;ัว 2์/๑;-12.0;760.0;ัว 2์/๑
2013.02.24;-4.0;758;Þว 3์/๑;-7.0;760.0;Þว 3์/๑
2013.02.25;-3.0;759;ว 3์/๑;-6.0;759.0;ว 3์/๑
