ฤเ๒เ;ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
2019.01.01;-18.0;758;ย 3์/๑;-15.0;757.0;ย 3์/๑
2019.01.02;-6.0;757;Þ 2์/๑;-6.0;757.0;Þ 2์/๑
2019.01.03;-7.0;758;ย 3์/๑;-8.0;758.0;ย 3์/๑
2019.01.04;-9.0;755;ย 2์/๑;-8.0;753.0;ย 2์/๑
2019.01.05;-10.0;744;ย 3์/๑;-5.0;742.0;ย 3์/๑
2019.01.06;-8.0;749;ว 2์/๑;-12.0;752.0;ว 2์/๑
2019.01.07;-15.0;753;ัว 2์/๑;-17.0;753.0;ัว 2์/๑
2019.01.08;-17.0;750;ว 3์/๑;-18.0;750.0;ว 3์/๑
2019.01.09;-14.0;754;ว 2์/๑;-12.0;755.0;ว 2์/๑
2019.01.10;-9.0;758;ว 1์/๑;-9.0;758.0;ว 1์/๑
2019.01.11;-12.0;754;ย 2์/๑;-12.0;751.0;ย 2์/๑
2019.01.12;0.0;737;Þ 2์/๑;0.0;735.0;Þ 2์/๑
2019.01.13;-8.0;740;Þว 2์/๑;-8.0;740.0;Þว 2์/๑
2019.01.14;-9.0;743;Þ 1์/๑;-8.0;745.0;Þ 1์/๑
2019.01.15;-3.0;744;Þ 4์/๑;-2.0;745.0;Þ 4์/๑
2019.01.16;-4.0;740;ย 4์/๑;-3.0;739.0;ย 4์/๑
2019.01.17;-7.0;746;ัว 1์/๑;-8.0;749.0;ัว 1์/๑
2019.01.18;-8.0;747;Þว 3์/๑;-6.0;748.0;Þว 3์/๑
2019.01.19;-2.0;746;Þ 1์/๑;-1.0;744.0;Þ 1์/๑
2019.01.20;-7.0;750;ว 1์/๑;-11.0;752.0;ว 1์/๑
2019.01.21;-10.0;750;Þ 2์/๑;-9.0;746.0;Þ 2์/๑
2019.01.22;-11.0;747;Þว 2์/๑;-15.0;750.0;Þว 2์/๑
2019.01.23;-18.0;756;ว 1์/๑;-21.0;758.0;ว 1์/๑
2019.01.24;-20.0;757;ย 3์/๑;-14.0;749.0;ย 3์/๑
2019.01.25;-13.0;753;ัว 2์/๑;-19.0;757.0;ัว 2์/๑
2019.01.26;-16.0;761;ย 2์/๑;-20.0;761.0;ย 2์/๑
2019.01.27;-13.0;755;ย 5์/๑;-13.0;755.0;ย 5์/๑
2019.01.28;-11.0;755;ย 4์/๑;-10.0;752.0;ย 4์/๑
2019.01.29;-9.0;751;ัย 1์/๑;-9.0;752.0;ัย 1์/๑
2019.01.30;-6.0;755;ัว 1์/๑;-13.0;756.0;ัว 1์/๑
2019.01.31;-7.0;758;ย 2์/๑;-7.0;758.0;ย 2์/๑
2019.02.01;-8.0;758;Þ 1์/๑;-13.0;758.0;Þ 1์/๑
2019.02.02;-11.0;757;ว 1์/๑;-12.0;757.0;ว 1์/๑
2019.02.03;-10.0;758;Þ 1์/๑;-11.0;758.0;Þ 1์/๑
2019.02.04;-5.0;758;-;-6.0;760.0;-
2019.02.05;-11.0;761;ย 4์/๑;-13.0;761.0;ย 4์/๑
2019.02.06;-11.0;761;ย 2์/๑;-11.0;760.0;ย 2์/๑
2019.02.07;-8.0;749;ย 3์/๑;-7.0;748.0;ย 3์/๑
2019.02.08;-4.0;756;ัว 2์/๑;-5.0;757.0;ัว 2์/๑
2019.02.09;-6.0;758;ว 2์/๑;-8.0;758.0;ว 2์/๑
2019.02.10;-8.0;757;Þว 1์/๑;-13.0;757.0;Þว 1์/๑
2019.02.11;-8.0;758;Þ 1์/๑;-13.0;759.0;Þ 1์/๑
2019.02.12;-7.0;760;Þ 1์/๑;-14.0;760.0;Þ 1์/๑
2019.02.13;-10.0;758;ย 3์/๑;-12.0;756.0;ย 3์/๑
2019.02.14;-7.0;752;Þว 2์/๑;-6.0;753.0;Þว 2์/๑
2019.02.15;-5.0;749;Þว 2์/๑;-6.0;743.0;Þว 2์/๑
2019.02.16;2.0;740;ว 2์/๑;0.0;740.0;ว 2์/๑
2019.02.17;-1.0;734;Þว 2์/๑;-2.0;729.0;Þว 2์/๑
2019.02.18;-1.0;729;ั 2์/๑;-6.0;734.0;ั 2์/๑
2019.02.19;-10.0;746;ัว 4์/๑;-10.0;747.0;ัว 4์/๑
2019.02.20;-3.0;745;Þว 2์/๑;-4.0;744.0;Þว 2์/๑
2019.02.21;-5.0;742;Þ 2์/๑;-2.0;740.0;Þ 2์/๑
2019.02.22;-4.0;741;Þว 3์/๑;-7.0;746.0;Þว 3์/๑
2019.02.23;-7.0;755;ัว 2์/๑;-9.0;756.0;ัว 2์/๑
2019.02.24;-9.0;755;ว 2์/๑;-11.0;753.0;ว 2์/๑
2019.02.25;-8.0;746;Þย 1์/๑;-8.0;743.0;Þย 1์/๑
2019.02.26;-5.0;739;ย 3์/๑;-6.0;740.0;ย 3์/๑
2019.02.27;-4.0;743;ย 2์/๑;-6.0;742.0;ย 2์/๑
2019.02.28;-2.0;734;Þว 2์/๑;-1.0;732.0;Þว 2์/๑
2019.03.01;-2.0;729;Þย 2์/๑;-1.0;728.0;Þย 2์/๑
2019.03.02;-2.0;728;ั 2์/๑;-6.0;731.0;ั 2์/๑
2019.03.03;-4.0;740;ว 2์/๑;-7.0;739.0;ว 2์/๑
2019.03.04;-2.0;738;ว 3์/๑;-5.0;739.0;ว 3์/๑
2019.03.05;-3.0;743;Þย 2์/๑;1.0;741.0;Þย 2์/๑
