ฤเ๒เ;ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
2017-01-01;-4.0;740;Þว 2์/๑;-4.0;740.0;Þว 2์/๑
2017-01-02;-3.0;736;Þว 2์/๑;-2.0;735.0;Þว 2์/๑
2017-01-03;0.0;734;ว 3์/๑;0.0;735.0;ว 3์/๑
2017-01-04;-5.0;741;ัว 2์/๑;-9.0;746.0;ัว 2์/๑
2017-01-05;-6.0;749;Þย 3์/๑;-3.0;747.0;Þย 3์/๑
2017-01-06;-1.0;752;Þว 1์/๑;-3.0;754.0;Þว 1์/๑
2017-01-07;-3.0;753;ย 3์/๑;-3.0;751.0;ย 3์/๑
2017-01-08;-7.0;754;ัย 1์/๑;-8.0;755.0;ัย 1์/๑
2017-01-09;-10.0;755;ัว 1์/๑;-10.0;754.0;ัว 1์/๑
2017-01-10;-9.0;754;ว 1์/๑;-9.0;755.0;ว 1์/๑
2017-01-11;-7.0;755;ว 3์/๑;-7.0;755.0;ว 3์/๑
2017-01-12;-11.0;755;Þว 2์/๑;-13.0;755.0;Þว 2์/๑
2017-01-13;-7.0;755;Þย 2์/๑;-8.0;756.0;Þย 2์/๑
2017-01-14;-12.0;760;Þย 1์/๑;-14.0;761.0;Þย 1์/๑
2017-01-15;-14.0;762;ย 2์/๑;-18.0;762.0;ย 2์/๑
2017-01-16;-14.0;763;Þย 2์/๑;-15.0;763.0;Þย 2์/๑
2017-01-17;-12.0;762;Þย 1์/๑;-14.0;761.0;Þย 1์/๑
2017-01-18;-14.0;760;ว 2์/๑;-13.0;760.0;ว 2์/๑
2017-01-19;-9.0;756;ว 2์/๑;-9.0;753.0;ว 2์/๑
2017-01-20;-8.0;741;ว 3์/๑;-5.0;741.0;ว 3์/๑
2017-01-21;-9.0;740;ว 3์/๑;-9.0;739.0;ว 3์/๑
2017-01-22;-8.0;742;ัว 3์/๑;-9.0;742.0;ัว 3์/๑
2017-01-23;-7.0;747;ว 3์/๑;-9.0;747.0;ว 3์/๑
2017-01-24;-1.0;740;ว 3์/๑;-2.0;741.0;ว 3์/๑
2017-01-25;-6.0;745;ัย 2์/๑;-12.0;747.0;ัย 2์/๑
2017-01-26;-17.0;748;ัว 3์/๑;-19.0;747.0;ัว 3์/๑
2017-01-27;-16.0;749;ว 1์/๑;-16.0;749.0;ว 1์/๑
2017-01-28;-19.0;755;ย 3์/๑;-22.0;759.0;ย 3์/๑
2017-01-29;-15.0;764;ย 1์/๑;-20.0;765.0;ย 1์/๑
2017-01-30;-12.0;763;ว 2์/๑;-16.0;761.0;ว 2์/๑
2017-01-31;-10.0;755;ว 1์/๑;-17.0;754.0;ว 1์/๑
2017-02-01;-11.0;746;ว 2์/๑;-12.0;744.0;ว 2์/๑
2017-02-02;-8.0;743;ัว 3์/๑;-9.0;746.0;ัว 3์/๑
2017-02-03;-11.0;752;ัว 3์/๑;-13.0;754.0;ัว 3์/๑
2017-02-04;-13.0;758;ว 1์/๑;-16.0;757.0;ว 1์/๑
2017-02-05;-12.0;746;ย 5์/๑;-11.0;743.0;ย 5์/๑
2017-02-06;-16.0;751;ัว 3์/๑;-21.0;753.0;ัว 3์/๑
2017-02-07;-16.0;756;ัว 2์/๑;-21.0;757.0;ัว 2์/๑
2017-02-08;-15.0;758;ัว 4์/๑;-16.0;760.0;ัว 4์/๑
2017-02-09;-12.0;760;ั 2์/๑;-21.0;761.0;ั 2์/๑
2017-02-10;-7.0;755;ว 2์/๑;-8.0;755.0;ว 2์/๑
2017-02-11;-11.0;759;ัว 1์/๑;-15.0;760.0;ัว 1์/๑
2017-02-12;-10.0;761;Þว 2์/๑;-12.0;761.0;Þว 2์/๑
2017-02-13;-8.0;761;Þว 2์/๑;-11.0;758.0;Þว 2์/๑
2017-02-14;-7.0;746;Þ 3์/๑;-9.0;746.0;Þ 3์/๑
2017-02-15;-8.0;746;ย 3์/๑;-9.0;747.0;ย 3์/๑
2017-02-16;-8.0;752;ั 2์/๑;-12.0;755.0;ั 2์/๑
