ฤเ๒เ;ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
2018-01-01;-5.0;752;Þย 1์/๑;-5.0;753.0;Þย 1์/๑
2018-01-02;-3.0;755;Þ 1์/๑;-3.0;756.0;Þ 1์/๑
2018-01-03;-2.0;757;Þย 1์/๑;-3.0;757.0;Þย 1์/๑
2018-01-04;-7.0;756;ย 3์/๑;-9.0;756.0;ย 3์/๑
2018-01-05;-10.0;757;ย 2์/๑;-12.0;757.0;ย 2์/๑
2018-01-06;-9.0;756;ย 2์/๑;-8.0;756.0;ย 2์/๑
2018-01-07;-6.0;752;Þว 2์/๑;-4.0;749.0;Þว 2์/๑
2018-01-08;-4.0;747;ว 2์/๑;-6.0;747.0;ว 2์/๑
2018-01-09;-5.0;746;ว 2์/๑;-7.0;747.0;ว 2์/๑
2018-01-10;-6.0;749;ว 2์/๑;-7.0;749.0;ว 2์/๑
2018-01-11;-4.0;752;ว 2์/๑;-6.0;754.0;ว 2์/๑
2018-01-12;-7.0;760;ัย 2์/๑;-15.0;764.0;ัย 2์/๑
2018-01-13;-15.0;766;ั 1์/๑;-19.0;766.0;ั 1์/๑
2018-01-14;-14.0;763;ว 1์/๑;-13.0;764.0;ว 1์/๑
2018-01-15;-9.0;766;ว 1์/๑;-9.0;765.0;ว 1์/๑
2018-01-16;-7.0;761;ัว 2์/๑;-8.0;758.0;ัว 2์/๑
2018-01-17;-9.0;755;ย 1์/๑;-9.0;755.0;ย 1์/๑
2018-01-18;-13.0;758;Þย 1์/๑;-14.0;758.0;Þย 1์/๑
2018-01-19;-16.0;758;ย 3์/๑;-17.0;759.0;ย 3์/๑
2018-01-20;-12.0;757;ย 4์/๑;-12.0;757.0;ย 4์/๑
2018-01-21;-9.0;755;ย 3์/๑;-9.0;754.0;ย 3์/๑
2018-01-22;-7.0;755;ย 2์/๑;-9.0;756.0;ย 2์/๑
2018-01-23;-8.0;755;ย 4์/๑;-9.0;755.0;ย 4์/๑
2018-01-24;-11.0;759;ย 3์/๑;-9.0;761.0;ย 3์/๑
2018-01-25;-11.0;767;Þย 2์/๑;-10.0;769.0;Þย 2์/๑
2018-01-26;-13.0;773;Þย 2์/๑;-14.0;774.0;Þย 2์/๑
2018-01-27;-14.0;776;Þย 2์/๑;-16.0;776.0;Þย 2์/๑
2018-01-28;-14.0;770;Þ 2์/๑;-16.0;769.0;Þ 2์/๑
2018-01-29;-12.0;763;Þย 3์/๑;-14.0;761.0;Þย 3์/๑
2018-01-30;-10.0;758;ย 4์/๑;-12.0;755.0;ย 4์/๑
2018-01-31;-14.0;745;ย 5์/๑;-14.0;744.0;ย 5์/๑
2018-02-01;-6.0;747;ย 1์/๑;-6.0;750.0;ย 1์/๑
2018-02-02;-6.0;756;ว 1์/๑;-7.0;756.0;ว 1์/๑
2018-02-03;-6.0;757;Þ 2์/๑;-7.0;757.0;Þ 2์/๑
2018-02-04;-4.0;754;Þย 3์/๑;-3.0;752.0;Þย 3์/๑
2018-02-05;-5.0;750;Þย 4์/๑;-6.0;753.0;Þย 4์/๑
2018-02-06;-6.0;761;ย 2์/๑;-6.0;763.0;ย 2์/๑
2018-02-07;-5.0;770;ย 3์/๑;-6.0;770.0;ย 3์/๑
2018-02-08;-7.0;767;Þย 2์/๑;-9.0;767.0;Þย 2์/๑
2018-02-09;-7.0;765;ย 2์/๑;-9.0;764.0;ย 2์/๑
2018-02-10;-5.0;762;ย 2์/๑;-9.0;761.0;ย 2์/๑
2018-02-11;-5.0;757;ั 1์/๑;-8.0;756.0;ั 1์/๑
2018-02-12;-7.0;755;ัว 2์/๑;-9.0;755.0;ัว 2์/๑
2018-02-13;-8.0;757;ัว 1์/๑;-13.0;758.0;ัว 1์/๑
2018-02-14;-8.0;762;ว 1์/๑;-16.0;763.0;ว 1์/๑
2018-02-15;-7.0;767;ว 1์/๑;-13.0;768.0;ว 1์/๑
2018-02-16;-6.0;769;ย 2์/๑;-10.0;769.0;ย 2์/๑
2018-02-17;-7.0;766;Þย 1์/๑;-10.0;765.0;Þย 1์/๑
2018-02-18;-6.0;761;ย 4์/๑;-7.0;758.0;ย 4์/๑
2018-02-19;-8.0;755;Þย 2์/๑;-8.0;753.0;Þย 2์/๑
2018-02-20;-5.0;749;ว 2์/๑;-8.0;749.0;ว 2์/๑
2018-02-21;-6.0;751;ว 2์/๑;-11.0;752.0;ว 2์/๑
2018-02-22;-10.0;754;ว 1์/๑;-15.0;755.0;ว 1์/๑
2018-02-23;-11.0;756;-;-18.0;756.0;-
2018-02-24;-12.0;756;Þย 2์/๑;-14.0;755.0;Þย 2์/๑
2018-02-25;-9.0;752;ั 3์/๑;-12.0;752.0;ั 3์/๑
2018-02-26;-12.0;750;ัว 1์/๑;-14.0;750.0;ัว 1์/๑
2018-02-27;-12.0;757;ั 3์/๑;-18.0;759.0;ั 3์/๑
2018-02-28;-15.0;761;ั 2์/๑;-18.0;763.0;ั 2์/๑
2018-03-01;-11.0;763;ัย 1์/๑;-18.0;761.0;ัย 1์/๑
2018-03-02;-8.0;758;ว 1์/๑;-14.0;757.0;ว 1์/๑
2018-03-03;-10.0;752;Þย 1์/๑;-12.0;749.0;Þย 1์/๑
2018-03-04;-7.0;743;Þย 4์/๑;-6.0;740.0;Þย 4์/๑
2018-03-05;-5.0;734;ว 4์/๑;-11.0;737.0;ว 4์/๑
2018-03-06;-9.0;746;ัว 3์/๑;-13.0;749.0;ัว 3์/๑
2018-03-07;-8.0;755;ว 2์/๑;-12.0;754.0;ว 2์/๑
2018-03-08;-8.0;748;ย 4์/๑;-10.0;748.0;ย 4์/๑
2018-03-09;-4.0;751;ัย 2์/๑;-9.0;752.0;ัย 2์/๑
2018-03-10;-4.0;753;ั 1์/๑;-10.0;755.0;ั 1์/๑
2018-03-11;-9.0;757;ัย 2์/๑;-11.0;758.0;ัย 2์/๑
2018-03-12;-7.0;761;Þ 1์/๑;-12.0;761.0;Þ 1์/๑
2018-03-13;-8.0;760;ว 3์/๑;-13.0;760.0;ว 3์/๑
2018-03-14;-7.0;758;ว 2์/๑;-12.0;757.0;ว 2์/๑
2018-03-15;-5.0;752;Þ 4์/๑;-5.0;749.0;Þ 4์/๑
2018-03-16;-2.0;744;Þย 2์/๑;0.0;744.0;Þย 2์/๑
2018-03-17;-6.0;752;Þย 2์/๑;-8.0;750.0;Þย 2์/๑
2018-03-18;-8.0;740;ัว 4์/๑;-14.0;746.0;ัว 4์/๑
2018-03-19;-10.0;754;ว 2์/๑;-11.0;752.0;ว 2์/๑
2018-03-20;-1.0;749;ว 1์/๑;-10.0;750.0;ว 1์/๑
2018-03-21;-4.0;745;ย 2์/๑;-5.0;741.0;ย 2์/๑
2018-03-22;-3.0;737;ัว 1์/๑;-5.0;737.0;ัว 1์/๑
2018-03-23;1.0;742;ว 4์/๑;-4.0;743.0;ว 4์/๑
2018-03-24;0.0;743;Þว 2์/๑;-4.0;743.0;Þว 2์/๑
2018-03-25;1.0;746;ว 1์/๑;-5.0;746.0;ว 1์/๑
2018-03-26;2.0;748;ว 3์/๑;-1.0;748.0;ว 3์/๑
2018-03-27;2.0;746;ว 3์/๑;-1.0;746.0;ว 3์/๑
2018-03-28;0.0;740;ัว 2์/๑;-2.0;744.0;ัว 2์/๑
2018-03-29;-1.0;752;ั 2์/๑;-11.0;752.0;ั 2์/๑
2018-03-30;0.0;755;ว 2์/๑;-6.0;756.0;ว 2์/๑
2018-03-31;-2.0;759;Þว 4์/๑;-4.0;758.0;Þว 4์/๑
2018-04-01;-2.0;755;Þว 3์/๑;0.0;755.0;Þว 3์/๑
2018-04-02;5.0;756;Þย 2์/๑;0.0;755.0;Þย 2์/๑
2018-04-03;5.0;754;Þย 4์/๑;3.0;752.0;Þย 4์/๑
2018-04-04;2.0;752;Þย 1์/๑;1.0;751.0;Þย 1์/๑
2018-04-05;3.0;749;ั 2์/๑;3.0;749.0;ั 2์/๑
2018-04-06;9.0;753;ัว 2์/๑;1.0;754.0;ัว 2์/๑
2018-04-07;4.0;749;Þว 3์/๑;2.0;749.0;Þว 3์/๑
2018-04-08;5.0;752;ัว 4์/๑;4.0;755.0;ัว 4์/๑
2018-04-09;9.0;757;Þว 3์/๑;4.0;757.0;Þว 3์/๑
2018-04-10;12.0;755;ว 3์/๑;9.0;753.0;ว 3์/๑
2018-04-11;13.0;749;ว 2์/๑;1.0;749.0;ว 2์/๑
2018-04-12;6.0;755;ัว 3์/๑;1.0;755.0;ัว 3์/๑
2018-04-13;7.0;752;ว 2์/๑;3.0;754.0;ว 2์/๑
2018-04-14;8.0;758;ัว 3์/๑;2.0;758.0;ัว 3์/๑
2018-04-15;9.0;754;Þว 2์/๑;6.0;752.0;Þว 2์/๑
2018-04-16;15.0;751;ว 2์/๑;7.0;751.0;ว 2์/๑
