ฤเ๒เ;ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
2011.01.01;-6.0;753;Þย 3์/๑;-6.0;753.0;Þย 3์/๑
2011.01.02;-6.0;751;Þย 3์/๑;-6.0;752.0;Þย 3์/๑
2011.01.03;-8.0;755;Þย 3์/๑;-8.0;758.0;Þย 3์/๑
2011.01.04;-11.0;760;ย 2์/๑;-15.0;760.0;ย 2์/๑
2011.01.05;-6.0;756;Þย 2์/๑;-5.0;756.0;Þย 2์/๑
2011.01.06;-8.0;764;ัย 1์/๑;-9.0;767.0;ัย 1์/๑
2011.01.07;-12.0;769;ย 1์/๑;-13.0;769.0;ย 1์/๑
2011.01.08;-15.0;767;ย 2์/๑;-16.0;766.0;ย 2์/๑
2011.01.09;-15.0;767;Þย 1์/๑;-18.0;766.0;Þย 1์/๑
2011.01.10;-13.0;765;ว 2์/๑;-15.0;765.0;ว 2์/๑
2011.01.11;-12.0;761;Þว 2์/๑;-14.0;761.0;Þว 2์/๑
2011.01.12;-8.0;761;ว 1์/๑;-7.0;761.0;ว 1์/๑
2011.01.13;-11.0;759;Þย 1์/๑;-11.0;758.0;Þย 1์/๑
2011.01.14;10.0;756;ย 3์/๑;-10.0;755.0;ย 3์/๑
2011.01.15;-5.0;755;ย 3์/๑;-7.0;755.0;ย 3์/๑
2011.01.16;-9.0;754;ย 4์/๑;-9.0;754.0;ย 4์/๑
2011.01.17;-9.0;754;ย 5์/๑;-11.0;755.0;ย 5์/๑
2011.01.18;-14.0;756;ัย 3์/๑;-14.0;756.0;ัย 3์/๑
2011.01.19;-13.0;756;ย 2์/๑;-14.0;757.0;ย 2์/๑
2011.01.20;-14.0;758;ว 1์/๑;-15.0;758.0;ว 1์/๑
2011.01.21;-17.0;759;ั 1์/๑;-21.0;759.0;ั 1์/๑
2011.01.22;-16.0;761;ย 2์/๑;-18.0;761.0;ย 2์/๑
2011.01.23;-14.0;759;Þย 3์/๑;-14.0;758.0;Þย 3์/๑
2011.01.24;-10.0;749;Þย 4์/๑;-8.0;747.0;Þย 4์/๑
2011.01.25;-5.0;749;-;-11.0;752.0;-
2011.01.26;-6.0;749;ย 3์/๑;-7.0;746.0;ย 3์/๑
2011.01.27;-5.0;749;ัว 1์/๑;-11.0;750.0;ัว 1์/๑
2011.01.28;-11.0;750;ว 2์/๑;-11.0;749.0;ว 2์/๑
2011.01.29;-10.0;743;ว 3์/๑;-8.0;743.0;ว 3์/๑
2011.01.30;-7.0;737;Þว 4์/๑;-8.0;738.0;Þว 4์/๑
2011.01.31;-7.0;745;ว 3์/๑;-8.0;747.0;ว 3์/๑
2011.02.01;-10.0;749;ว 1์/๑;-12.0;748.0;ว 1์/๑
2011.02.02;-11.0;747;ัว 1์/๑;-19.0;749.0;ัว 1์/๑
2011.02.03;-14.0;750;Þว 2์/๑;-14.0;750.0;Þว 2์/๑
2011.02.04;-7.0;748;ว 2์/๑;-6.0;747.0;ว 2์/๑
2011.02.05;-5.0;740;Þ 3์/๑;-5.0;737.0;Þ 3์/๑
2011.02.06;-5.0;728;ัย 2์/๑;-6.0;727.0;ัย 2์/๑
2011.02.07;-5.0;733;ั 4์/๑;-8.0;735.0;ั 4์/๑
2011.02.08;-7.0;741;ั 3์/๑;-11.0;741.0;ั 3์/๑
2011.02.09;-7.0;730;ย 3์/๑;-5.0;728.0;ย 3์/๑
2011.02.10;-7.0;731;ั 1์/๑;-12.0;734.0;ั 1์/๑
2011.02.11;-15.0;740;ัว 2์/๑;-18.0;743.0;ัว 2์/๑
2011.02.12;-15.0;746;ย 1์/๑;-18.0;746.0;ย 1์/๑
2011.02.13;-11.0;740;ย 5์/๑;-10.0;740.0;ย 5์/๑
2011.02.14;-12.0;737;Þย 2์/๑;-16.0;738.0;Þย 2์/๑
2011.02.15;-15.0;738;ย 1์/๑;-18.0;740.0;ย 1์/๑
2011.02.16;-17.0;744;ัว 1์/๑;-21.0;746.0;ัว 1์/๑
2011.02.17;-19.0;746;Þว 1์/๑;-23.0;747.0;Þว 1์/๑
2011.02.18;-18.0;751;ัย 2์/๑;-22.0;752.0;ัย 2์/๑
2011.02.19;-18.0;752;ว 2์/๑;-20.0;752.0;ว 2์/๑
2011.02.20;-17.0;756;Þย 1์/๑;-25.0;751.0;Þย 1์/๑
