ฤเ๒เ;ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
2020.01.01;-2.0;738;Þว 1์/๑;-2.0;740.0;Þว 1์/๑
2020.01.02;-6.0;749;ัว 1์/๑;-7.0;750.0;ัว 1์/๑
2020.01.03;-5.0;751;Þ 1์/๑;-2.0;749.0;Þ 1์/๑
2020.01.04;-2.0;745;Þว 3์/๑;-1.0;745.0;Þว 3์/๑
2020.01.05;-1.0;748;Þว 1์/๑;-1.0;750.0;Þว 1์/๑
2020.01.06;0.0;755;-;-2.0;756.0;-
2020.01.07;-2.0;757;ว 2์/๑;-4.0;758.0;ว 2์/๑
2020.01.08;-4.0;760;ย 1์/๑;-4.0;759.0;ย 1์/๑
2020.01.09;-3.0;755;Þว 2์/๑;-5.0;753.0;Þว 2์/๑
2020.01.10;-4.0;750;Þว 2์/๑;-4.0;750.0;Þว 2์/๑
2020.01.11;-2.0;750;Þว 1์/๑;-3.0;749.0;Þว 1์/๑
2020.01.12;-3.0;751;ว 2์/๑;-3.0;750.0;ว 2์/๑
2020.01.13;-4.0;742;ว 4์/๑;-4.0;742.0;ว 4์/๑
2020.01.14;0.0;751;ว 2์/๑;0.0;753.0;ว 2์/๑
2020.01.15;-1.0;759;ว 2์/๑;-4.0;759.0;ว 2์/๑
2020.01.16;1.0;752;ว 4์/๑;0.0;751.0;ว 4์/๑
2020.01.17;1.0;753;ว 1์/๑;1.0;755.0;ว 1์/๑
2020.01.18;1.0;756;ว 1์/๑;1.0;757.0;ว 1์/๑
2020.01.19;0.0;755;ว 4์/๑;-1.0;755.0;ว 4์/๑
2020.01.20;-1.0;752;ว 3์/๑;-2.0;750.0;ว 3์/๑
2020.01.21;1.0;744;Þว 2์/๑;0.0;739.0;Þว 2์/๑
2020.01.22;1.0;731;ว 4์/๑;-2.0;731.0;ว 4์/๑
2020.01.23;-2.0;734;ัว 1์/๑;-6.0;737.0;ัว 1์/๑
2020.01.24;-7.0;743;ว 3์/๑;-10.0;743.0;ว 3์/๑
2020.01.25;-1.0;734;Þว 2์/๑;0.0;733.0;Þว 2์/๑
2020.01.26;-2.0;737;ัว 3์/๑;-4.0;742.0;ัว 3์/๑
2020.01.27;-2.0;740;ัว 5์/๑;-7.0;746.0;ัว 5์/๑
2020.01.28;-10.0;756;Þ 1์/๑;-13.0;757.0;Þ 1์/๑
2020.01.29;-8.0;755;ย 3์/๑;-10.0;754.0;ย 3์/๑
2020.01.30;-2.0;748;ย 3์/๑;-2.0;747.0;ย 3์/๑
2020.01.31;-1.0;744;Þย 2์/๑;-1.0;744.0;Þย 2์/๑
2020.02.01;0.0;745;Þว 1์/๑;-1.0;746.0;Þว 1์/๑
2020.02.02;-1.0;745;ย 2์/๑;-1.0;743.0;ย 2์/๑
2020.02.03;1.0;729;Þว 3์/๑;2.0;730.0;Þว 3์/๑
2020.02.04;0.0;730;ว 3์/๑;-1.0;733.0;ว 3์/๑
2020.02.05;-2.0;739;ว 3์/๑;-4.0;742.0;ว 3์/๑
2020.02.06;-6.0;743;ว 2์/๑;-9.0;743.0;ว 2์/๑
2020.02.07;-7.0;737;ั 1์/๑;-9.0;740.0;ั 1์/๑
2020.02.08;-12.0;746;ัว 2์/๑;-15.0;750.0;ัว 2์/๑
2020.02.09;-12.0;755;ว 2์/๑;-15.0;756.0;ว 2์/๑
2020.02.10;-7.0;749;Þว 3์/๑;-7.0;749.0;Þว 3์/๑
2020.02.11;-5.0;750;Þ 2์/๑;-7.0;751.0;Þ 2์/๑
2020.02.12;-5.0;751;Þ 1์/๑;-8.0;750.0;Þ 1์/๑
2020.02.13;-5.0;748;ย 1์/๑;-8.0;747.0;ย 1์/๑
2020.02.14;-6.0;750;ั 1์/๑;-8.0;752.0;ั 1์/๑
2020.02.15;-5.0;758;Þว 1์/๑;-7.0;759.0;Þว 1์/๑
2020.02.16;-5.0;764;ย 1์/๑;-5.0;764.0;ย 1์/๑
2020.02.17;0.0;758;Þว 2์/๑;0.0;756.0;Þว 2์/๑
2020.02.18;2.0;752;Þว 3์/๑;1.0;752.0;Þว 3์/๑
2020.02.19;1.0;748;Þว 2์/๑;1.0;748.0;Þว 2์/๑
2020.02.20;3.0;752;ว 1์/๑;0.0;753.0;ว 1์/๑
2020.02.21;3.0;756;-;-4.0;758.0;-
2020.02.22;-2.0;761;ย 2์/๑;-5.0;760.0;ย 2์/๑
2020.02.23;-2.0;751;Þย 2์/๑;-2.0;746.0;Þย 2์/๑
2020.02.24;2.0;740;Þว 2์/๑;1.0;742.0;Þว 2์/๑
2020.02.25;0.0;735;ย 3์/๑;1.0;734.0;ย 3์/๑
2020.02.26;1.0;742;ว 3์/๑;-1.0;744.0;ว 3์/๑
2020.02.27;3.0;744;Þ 3์/๑;4.0;743.0;Þ 3์/๑
2020.02.28;3.0;744;ย 2์/๑;3.0;743.0;ย 2์/๑
2020.02.29;4.0;744;ว 2์/๑;1.0;747.0;ว 2์/๑
2020.03.01;3.0;752;ว 3์/๑;-3.0;755.0;ว 3์/๑
2020.03.02;5.0;757;Þว 3์/๑;3.0;758.0;Þว 3์/๑
2020.03.03;4.0;757;Þ 2์/๑;0.0;755.0;Þ 2์/๑
2020.03.04;1.0;752;Þย 2์/๑;1.0;753.0;Þย 2์/๑
2020.03.05;2.0;760;ย 3์/๑;0.0;761.0;ย 3์/๑
2020.03.06;1.0;763;ย 4์/๑;-3.0;762.0;ย 4์/๑
2020.03.07;3.0;761;Þ 2์/๑;2.0;760.0;Þ 2์/๑
2020.03.08;3.0;758;Þ 3์/๑;2.0;758.0;Þ 3์/๑
2020.03.09;5.0;755;Þว 1์/๑;5.0;755.0;Þว 1์/๑
2020.03.10;8.0;753;Þย 1์/๑;6.0;752.0;Þย 1์/๑
2020.03.11;12.0;747;Þย 3์/๑;9.0;745.0;Þย 3์/๑
2020.03.12;10.0;741;Þว 2์/๑;6.0;741.0;Þว 2์/๑
2020.03.13;10.0;738;Þว 4์/๑;8.0;737.0;Þว 4์/๑
2020.03.14;1.0;741;ว 1์/๑;0.0;740.0;ว 1์/๑
2020.03.15;2.0;742;Þ 1์/๑;1.0;743.0;Þ 1์/๑
2020.03.16;0.0;749;ั 1์/๑;1.0;753.0;ั 1์/๑
2020.03.17;6.0;755;ว 3์/๑;4.0;757.0;ว 3์/๑
2020.03.18;10.0;758;Þว 3์/๑;6.0;757.0;Þว 3์/๑
2020.03.19;12.0;748;Þว 4์/๑;7.0;746.0;Þว 4์/๑
2020.03.20;4.0;742;ั 3์/๑;1.0;743.0;ั 3์/๑
2020.03.21;0.0;748;ว 2์/๑;0.0;750.0;ว 2์/๑
2020.03.22;-3.0;757;ัย 3์/๑;-4.0;757.0;ัย 3์/๑
2020.03.23;-2.0;754;ัย 2์/๑;2.0;752.0;ัย 2์/๑
2020.03.24;-2.0;760;ว 2์/๑;-3.0;761.0;ว 2์/๑
2020.03.25;3.0;763;ว 1์/๑;-2.0;763.0;ว 1์/๑
2020.03.26;5.0;758;ว 3์/๑;3.0;758.0;ว 3์/๑
2020.03.27;11.0;760;ัย 2์/๑;2.0;761.0;ัย 2์/๑
2020.03.28;9.0;758;Þย 2์/๑;6.0;757.0;Þย 2์/๑
2020.03.29;14.0;751;Þ 1์/๑;10.0;749.0;Þ 1์/๑
2020.03.30;15.0;746;Þย 3์/๑;11.0;745.0;Þย 3์/๑
2020.03.31;17.0;741;Þย 1์/๑;14.0;740.0;Þย 1์/๑
2020.04.01;4.0;742;ว 3์/๑;-1.0;743.0;ว 3์/๑
2020.04.02;7.0;745;Þว 4์/๑;6.0;747.0;Þว 4์/๑
2020.04.03;12.0;749;Þ 2์/๑;8.0;749.0;Þ 2์/๑
2020.04.04;16.0;748;ว 3์/๑;12.0;748.0;ว 3์/๑
2020.04.05;7.0;749;ั 2์/๑;3.0;749.0;ั 2์/๑
2020.04.06;5.0;749;ัว 3์/๑;1.0;751.0;ัว 3์/๑
2020.04.07;6.0;756;ัว 3์/๑;1.0;756.0;ัว 3์/๑
