ฤเ๒เ;ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
2012.01.01;-5.0;753;ย 2์/๑;-5.0;752.0;ย 2์/๑
2012.01.02;-6.0;751;ย 2์/๑;-7.0;750.0;ย 2์/๑
2012.01.03;-6.0;752;ย 1์/๑;-9.0;752.0;ย 1์/๑
2012.01.04;-11.0;749;Þ 2์/๑;-9.0;749.0;Þ 2์/๑
2012.01.05;-4.0;749;Þ 2์/๑;-2.0;749.0;Þ 2์/๑
2012.01.06;-1.0;754;Þ 3์/๑;-5.0;755.0;Þ 3์/๑
2012.01.07;-8.0;756;Þย 2์/๑;-9.0;758.0;Þย 2์/๑
2012.01.08;-10.0;759;Þย 3์/๑;-12.0;759.0;Þย 3์/๑
2012.01.09;-11.0;758;ย 4์/๑;-12.0;757.0;ย 4์/๑
2012.01.10;-11.0;753;ย 2์/๑;-11.0;752.0;ย 2์/๑
2012.01.11;-10.0;750;Þว 1์/๑;-12.0;750.0;Þว 1์/๑
2012.01.12;-10.0;749;Þ 2์/๑;-8.0;748.0;Þ 2์/๑
2012.01.13;-4.0;747;Þ 2์/๑;-4.0;747.0;Þ 2์/๑
2012.01.14;-3.0;749;Þย 2์/๑;-4.0;750.0;Þย 2์/๑
2012.01.15;-3.0;754;ย 2์/๑;-4.0;755.0;ย 2์/๑
2012.01.16;-6.0;754;Þย 3์/๑;-6.0;753.0;Þย 3์/๑
2012.01.17;-4.0;754;Þย 4์/๑;-4.0;757.0;Þย 4์/๑
2012.01.18;-7.0;758;ย 4์/๑;-9.0;758.0;ย 4์/๑
2012.01.19;-11.0;762;ย 2์/๑;-14.0;762.0;ย 2์/๑
2012.01.20;-13.0;764;ย 2์/๑;-15.0;764.0;ย 2์/๑
2012.01.21;-14.0;769;Þย 2์/๑;-15.0;769.0;Þย 2์/๑
2012.01.22;-12.0;769;ย 2์/๑;-14.0;769.0;ย 2์/๑
2012.01.23;-9.0;767;ย 2์/๑;-10.0;766.0;ย 2์/๑
2012.01.24;-6.0;763;ย 2์/๑;-7.0;762.0;ย 2์/๑
2012.01.25;-6.0;764;ย 2์/๑;-9.0;765.0;ย 2์/๑
2012.01.26;-8.0;770;ย 3์/๑;-10.0;771.0;ย 3์/๑
2012.01.27;-9.0;769;ัย 3์/๑;-10.0;767.0;ัย 3์/๑
2012.01.28;-10.0;765;ย 1์/๑;-14.0;766.0;ย 1์/๑
2012.01.29;-10.0;767;ัว 1์/๑;-15.0;766.0;ัว 1์/๑
2012.01.30;-16.0;766;ัย 2์/๑;-18.0;767.0;ัย 2์/๑
2012.01.31;-17.0;767;ย 4์/๑;-19.0;768.0;ย 4์/๑
2012.02.01;-19.0;772;ย 3์/๑;-21.0;773.0;ย 3์/๑
2012.02.02;-19.0;772;ย 2์/๑;-21.0;772.0;ย 2์/๑
2012.02.03;-19.0;777;ย 1์/๑;-24.0;779.0;ย 1์/๑
2012.02.04;-15.0;776;ั 2์/๑;-20.0;774.0;ั 2์/๑
2012.02.05;-14.0;770;ัย 2์/๑;-16.0;770.0;ัย 2์/๑
2012.02.07;-13.0;769;ย 2์/๑;-14.0;767.0;ย 2์/๑
2012.02.08;-13.0;760;ย 5์/๑;-11.0;758.0;ย 5์/๑
2012.02.09;-12.0;756;ย 3์/๑;-16.0;758.0;ย 3์/๑
2012.02.10;-17.0;762;Þย 2์/๑;-18.0;762.0;Þย 2์/๑
2012.02.11;-14.0;763;Þย 2์/๑;-16.0;764.0;Þย 2์/๑
2012.02.12;-17.0;766;-;-25.0;766.0;-
2012.02.13;-17.0;764;Þย 1์/๑;-18.0;764.0;Þย 1์/๑
2012.02.14;-13.0;764;ย 2์/๑;-14.0;763.0;ย 2์/๑
2012.02.15;-11.0;758;Þย 4์/๑;-14.0;757.0;Þย 4์/๑
2012.02.16;-10.0;758;Þย 2์/๑;-13.0;759.0;Þย 2์/๑
2012.02.17;-8.0;758;ย 3์/๑;-12.0;758.0;ย 3์/๑
2012.02.18;-9.0;760;Þย 2์/๑;-12.0;761.0;Þย 2์/๑
2012.02.19;-6.0;762;ัว 2์/๑;-11.0;763.0;ัว 2์/๑
2012.02.20;-6.0;765;ัว 2์/๑;-10.0;764.0;ัว 2์/๑
2012.02.21;-5.0;761;ว 1์/๑;-10.0;760.0;ว 1์/๑
2012.02.22;-10.0;757;Þ 2์/๑;-13.0;757.0;Þ 2์/๑
2012.02.23;-8.0;756;Þ 2์/๑;-13.0;755.0;Þ 2์/๑
2012.02.24;-8.0;751;Þย 3์/๑;-11.0;749.0;Þย 3์/๑
2012.02.25;-10.0;746;Þย 4์/๑;-10.0;746.0;Þย 4์/๑
2012.02.26;-9.0;745;ย 5์/๑;-10.0;745.0;ย 5์/๑
2012.02.27;-9.0;746;ย 4์/๑;-8.0;747.0;ย 4์/๑
2012.02.28;-3.0;749;ย 2์/๑;-3.0;749.0;ย 2์/๑
2012.02.29;-1.0;745;Þย 2์/๑;-2.0;745.0;Þย 2์/๑
2012.03.01;-3.0;744;Þย 2์/๑;-3.0;743.0;Þย 2์/๑
2012.03.02;-3.0;740;ย 2์/๑;-6.0;739.0;ย 2์/๑
2012.03.03;-4.0;736;ย 2์/๑;-6.0;737.0;ย 2์/๑
2012.03.04;-3.0;741;Þย 2์/๑;-6.0;743.0;Þย 2์/๑
2012.03.05;-3.0;740;ั 3์/๑;-5.0;740.0;ั 3์/๑
2012.03.06;-3.0;741;ย 2์/๑;-6.0;743.0;ย 2์/๑
2012.03.07;-6.0;746;ย 2์/๑;-9.0;746.0;ย 2์/๑
2012.03.08;-7.0;750;ย 2์/๑;-7.0;750.0;ย 2์/๑
2012.03.09;-6.0;749;Þย 2์/๑;-13.0;751.0;Þย 2์/๑
2012.03.10;-13.0;754;ย 2์/๑;-15.0;755.0;ย 2์/๑
2012.03.11;-10.0;756;Þย 1์/๑;-15.0;758.0;Þย 1์/๑
2012.03.12;-12.0;755;Þ 2์/๑;-16.0;753.0;Þ 2์/๑
2012.03.13;-11.0;740;ย 3์/๑;-10.0;737.0;ย 3์/๑
2012.03.14;-5.0;728;ย 3์/๑;-2.0;722.0;ย 3์/๑
2012.03.15;-1.0;736;ว 2์/๑;-5.0;739.0;ว 2์/๑
2012.03.16;-3.0;743;ัว 2์/๑;-8.0;745.0;ัว 2์/๑
2012.03.17;-6.0;743;ว 3์/๑;-6.0;742.0;ว 3์/๑
2012.03.18;1.0;742;ว 4์/๑;1.0;741.0;ว 4์/๑
