ฤเ๒เ;ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
2016.01.01;-16.0;762;ัย 2์/๑;-18.0;762.0;ัย 2์/๑
2016.01.02;-19.0;760;ย 1์/๑;-20.0;758.0;ย 1์/๑
2016.01.03;-12.0;745;ย 3์/๑;-14.0;745.0;ย 3์/๑
2016.01.04;-17.0;752;Þย 2์/๑;-17.0;755.0;Þย 2์/๑
2016.01.05;;;;-15.0;758.0;-
2016.01.06;-16.0;756;ย 4์/๑;-17.0;755.0;ย 4์/๑
2016.01.07;-16.0;752;ย 3์/๑;-14.0;751.0;ย 3์/๑
2016.01.08;-9.0;750;ย 3์/๑;-7.0;749.0;ย 3์/๑
2016.01.09;-6.0;740;ย 5์/๑;-3.0;737.0;ย 5์/๑
2016.01.10;;;;-6.0;738.0;-
2016.01.11;-12.0;744;ว 2์/๑;-15.0;747.0;ว 2์/๑
2016.01.12;-17.0;755;ว 1์/๑;-19.0;754.0;ว 1์/๑
2016.01.13;-11.0;747;ย 4์/๑;-9.0;746.0;ย 4์/๑
2016.01.14;-6.0;747;Þย 2์/๑;-7.0;746.0;Þย 2์/๑
2016.01.15;-5.0;749;ว 2์/๑;-4.0;750.0;ว 2์/๑
2016.01.16;-6.0;756;ัว 1์/๑;-13.0;758.0;ัว 1์/๑
2016.01.17;-12.0;755;ย 4์/๑;-8.0;753.0;ย 4์/๑
2016.01.18;-4.0;752;Þย 3์/๑;-4.0;751.0;Þย 3์/๑
2016.01.19;-7.0;743;ย 3์/๑;-5.0;742.0;ย 3์/๑
2016.01.20;-2.0;741;ย 1์/๑;-3.0;742.0;ย 1์/๑
2016.01.21;-8.0;754;Þว 4์/๑;-10.0;759.0;Þว 4์/๑
2016.01.22;-12.0;764;ย 3์/๑;-10.0;761.0;ย 3์/๑
2016.01.23;-6.0;758;Þย 2์/๑;-8.0;756.0;Þย 2์/๑
2016.01.24;-8.0;757;ัย 1์/๑;-13.0;758.0;ัย 1์/๑
2016.01.25;-19.0;756;ัว 2์/๑;-22.0;756.0;ัว 2์/๑
2016.01.26;-19.0;755;ัว 4์/๑;-22.0;756.0;ัว 4์/๑
2016.01.27;-17.0;755;ย 2์/๑;-20.0;755.0;ย 2์/๑
2016.01.28;-17.0;753;ย 2์/๑;-20.0;754.0;ย 2์/๑
2016.01.29;-11.0;745;Þย 3์/๑;-10.0;744.0;Þย 3์/๑
2016.01.30;-3.0;746;ว 1์/๑;-1.0;747.0;ว 1์/๑
2016.01.31;1.0;749;Þ 1์/๑;0.0;749.0;Þ 1์/๑
2016.02.01;2.0;744;Þ 3์/๑;0.0;746.0;Þ 3์/๑
2016.02.02;0.0;746;Þ 1์/๑;0.0;745.0;Þ 1์/๑
2016.02.03;0.0;740;Þว 2์/๑;0.0;738.0;Þว 2์/๑
2016.02.04;2.0;743;ว 3์/๑;0.0;744.0;ว 3์/๑
2016.02.05;1.0;745;ว 1์/๑;-1.0;747.0;ว 1์/๑
2016.02.06;-3.0;749;ว 1์/๑;-5.0;749.0;ว 1์/๑
2016.02.07;-2.0;753;ัว 2์/๑;-5.0;755.0;ัว 2์/๑
2016.02.08;-3.0;755;ว 2์/๑;-2.0;755.0;ว 2์/๑
2016.02.09;0.0;758;ว 2์/๑;-4.0;760.0;ว 2์/๑
2016.02.10;0.0;763;Þว 3์/๑;-4.0;764.0;Þว 3์/๑
2016.02.11;-7.0;765;ย 3์/๑;-8.0;765.0;ย 3์/๑
2016.02.12;-4.0;764;ย 2์/๑;-9.0;764.0;ย 2์/๑
2016.02.13;-3.0;761;ย 1์/๑;-8.0;759.0;ย 1์/๑
2016.02.14;-5.0;759;Þย 3์/๑;-7.0;759.0;Þย 3์/๑
2016.02.15;-5.0;760;ย 2์/๑;-5.0;761.0;ย 2์/๑
2016.02.16;-2.0;759;ย 3์/๑;-3.0;755.0;ย 3์/๑
2016.02.17;0.0;748;ัว 3์/๑;-3.0;749.0;ัว 3์/๑
2016.02.18;-2.0;753;ัย 3์/๑;-2.0;756.0;ัย 3์/๑
2016.02.19;0.0;761;ัย 2์/๑;-2.0;761.0;ัย 2์/๑
2016.02.20;1.0;758;ย 3์/๑;-1.0;755.0;ย 3์/๑
2016.02.21;-4.0;750;ย 3์/๑;-4.0;749.0;ย 3์/๑
2016.02.22;-3.0;756;Þย 2์/๑;-5.0;754.0;Þย 2์/๑
2016.02.23;3.0;749;Þว 1์/๑;1.0;750.0;Þว 1์/๑
2016.02.24;3.0;749;Þย 1์/๑;1.0;749.0;Þย 1์/๑
2016.02.25;0.0;742;Þย 2์/๑;-1.0;741.0;Þย 2์/๑
2016.02.26;3.0;749;ว 3์/๑;-1.0;753.0;ว 3์/๑
2016.02.27;1.0;758;Þ 2์/๑;-1.0;757.0;Þ 2์/๑
2016.02.28;1.0;758;ว 1์/๑;1.0;760.0;ว 1์/๑
2016.02.29;2.0;760;-;-4.0;758.0;-
2016.03.01;0.0;759;ัว 2์/๑;-3.0;761.0;ัว 2์/๑
2016.03.02;-2.0;757;ย 3์/๑;-1.0;754.0;ย 3์/๑
2016.03.03;0.0;750;Þย 1์/๑;0.0;749.0;Þย 1์/๑
2016.03.04;3.0;747;ย 2์/๑;2.0;746.0;ย 2์/๑
2016.03.05;2.0;745;ว 1์/๑;2.0;746.0;ว 1์/๑
2016.03.06;3.0;751;ว 1์/๑;2.0;753.0;ว 1์/๑
2016.03.07;6.0;757;-;0.0;758.0;-
2016.03.08;3.0;758;ัย 2์/๑;3.0;758.0;ัย 2์/๑
2016.03.09;2.0;756;ย 2์/๑;1.0;756.0;ย 2์/๑
2016.03.10;3.0;756;ย 3์/๑;0.0;756.0;ย 3์/๑
