ฤเ๒เ;ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
2014-01-01;0.0;759;ว 1์/๑;-1.0;759.0;ว 1์/๑
2014-01-02;-1.0;758;ว 1์/๑;-2.0;759.0;ว 1์/๑
2014-01-03;-3.0;762;ั 1์/๑;-3.0;763.0;ั 1์/๑
2014-01-04;-8.0;765;ย 3์/๑;-8.0;764.0;ย 3์/๑
2014-01-05;-10.0;763;Þย 1์/๑;-11.0;762.0;Þย 1์/๑
2014-01-06;-12.0;759;Þ 2์/๑;-10.0;758.0;Þ 2์/๑
2014-01-07;-6.0;755;Þ 1์/๑;-6.0;756.0;Þ 1์/๑
2014-01-08;-3.0;751;Þ 2์/๑;1.0;749.0;Þ 2์/๑
2014-01-09;0.0;745;ว 2์/๑;0.0;743.0;ว 2์/๑
2014-01-10;0.0;742;ว 1์/๑;0.0;743.0;ว 1์/๑
2014-01-11;1.0;735;Þ 3์/๑;1.0;735.0;Þ 3์/๑
2014-01-12;0.0;739;Þว 2์/๑;-1.0;741.0;Þว 2์/๑
2014-01-13;1.0;736;Þ 3์/๑;1.0;737.0;Þ 3์/๑
2014-01-14;0.0;740;Þว 2์/๑;-4.0;742.0;Þว 2์/๑
2014-01-15;-9.0;750;ว 3์/๑;-11.0;752.0;ว 3์/๑
2014-01-16;-10.0;753;ย 2์/๑;-8.0;747.0;ย 2์/๑
2014-01-17;-4.0;740;ว 4์/๑;-10.0;742.0;ว 4์/๑
2014-01-18;-11.0;747;ว 3์/๑;-15.0;747.0;ว 3์/๑
2014-01-19;-18.0;747;ั 2์/๑;-22.0;749.0;ั 2์/๑
2014-01-20;-19.0;755;ัว 3์/๑;-16.0;756.0;ัว 3์/๑
2014-01-21;-12.0;759;ว 2์/๑;-12.0;759.0;ว 2์/๑
2014-01-22;-13.0;758;ย 1์/๑;-19.0;758.0;ย 1์/๑
2014-01-23;-15.0;752;ย 3์/๑;-13.0;751.0;ย 3์/๑
2014-01-24;-10.0;750;ย 4์/๑;-10.0;750.0;ย 4์/๑
2014-01-25;-12.0;752;ย 3์/๑;-15.0;754.0;ย 3์/๑
2014-01-26;-17.0;754;ัว 2์/๑;-21.0;755.0;ัว 2์/๑
2014-01-27;-17.0;756;ว 2์/๑;-21.0;756.0;ว 2์/๑
