ฤเ๒เ;ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
2010-01-01;-4.0;745;ย 3์/๑;-1.0;742.0;ย 3์/๑
2010-01-02;-5.0;743;ย 2์/๑;-6.0;741.0;ย 2์/๑
2010-01-03;-3.0;734;ย 1์/๑;0.0;734.0;ย 1์/๑
2010-01-04;-17.0;743;ัว 2์/๑;-21.0;747.0;ัว 2์/๑
2010-01-05;-19.0;757;ั 1์/๑;-21.0;759.0;ั 1์/๑
2010-01-06;-18.0;763;-;-22.0;764.0;-
2010-01-07;-17.0;767;ัว 2์/๑;-21.0;767.0;ัว 2์/๑
2010-01-08;-20.0;766;ย 2์/๑;-17.0;764.0;ย 2์/๑
2010-01-09;-8.0;761;Þ 1์/๑;-8.0;760.0;Þ 1์/๑
2010-01-10;-12.0;760;-;-16.0;760.0;-
2010-01-11;-14.0;756;Þว 1์/๑;-12.0;756.0;Þว 1์/๑
2010-01-12;-11.0;752;Þว 2์/๑;-12.0;750.0;Þว 2์/๑
2010-01-13;-7.0;747;ว 3์/๑;-7.0;748.0;ว 3์/๑
2010-01-14;-8.0;751;ัว 2์/๑;-12.0;755.0;ัว 2์/๑
2010-01-15;-14.0;761;-;-16.0;761.0;-
2010-01-16;-17.0;768;-;-20.0;771.0;-
2010-01-17;-17.0;774;-;-22.0;774.0;-
2010-01-18;-18.0;770;ว 2์/๑;-21.0;770.0;ว 2์/๑
2010-01-19;-17.0;769;ย 1์/๑;-19.0;769.0;ย 1์/๑
2010-01-20;-17.0;770;ย 1์/๑;-17.0;770.0;ย 1์/๑
2010-01-21;-15.0;767;-;-19.0;765.0;-
2010-01-22;-20.0;763;-;-26.0;764.0;-
2010-01-23;-22.0;762;-;-27.0;762.0;-
2010-01-24;-19.0;761;-;-21.0;760.0;-
2010-01-25;-14.0;761;ย 2์/๑;-13.0;761.0;ย 2์/๑
2010-01-26;-7.0;761;ย 4์/๑;-10.0;764.0;ย 4์/๑
2010-01-27;-12.0;762;ย 3์/๑;-15.0;759.0;ย 3์/๑
2010-01-28;-14.0;749;ย 2์/๑;-16.0;747.0;ย 2์/๑
2010-01-29;-15.0;748;ย 1์/๑;-20.0;750.0;ย 1์/๑
2010-01-30;-16.0;750;ย 4์/๑;-12.0;750.0;ย 4์/๑
2010-01-31;-7.0;757;ย 1์/๑;-7.0;758.0;ย 1์/๑
2010-02-01;-5.0;758;Þย 3์/๑;-6.0;759.0;Þย 3์/๑
2010-02-02;-7.0;759;ย 3์/๑;-9.0;760.0;ย 3์/๑
2010-02-03;-11.0;764;ย 3์/๑;-14.0;766.0;ย 3์/๑
2010-02-04;-9.0;772;ย 2์/๑;-12.0;773.0;ย 2์/๑
2010-02-05;-9.0;770;-;-13.0;768.0;-
2010-02-06;-10.0;767;ัว 1์/๑;-16.0;767.0;ัว 1์/๑
2010-02-07;-11.0;767;ว 1์/๑;-16.0;767.0;ว 1์/๑
2010-02-08;-13.0;767;ย 2์/๑;-15.0;767.0;ย 2์/๑
2010-02-09;-14.0;770;ย 4์/๑;-16.0;770.0;ย 4์/๑
2010-02-10;-15.0;774;Þย 2์/๑;-18.0;775.0;Þย 2์/๑
2010-02-11;-16.0;776;Þย 2์/๑;-19.0;776.0;Þย 2์/๑
2010-02-12;-12.0;776;ย 1์/๑;-16.0;776.0;ย 1์/๑
2010-02-13;-10.0;773;ว 1์/๑;-15.0;770.0;ว 1์/๑
2010-02-14;-10.0;764;ย 3์/๑;-13.0;761.0;ย 3์/๑
2010-02-15;-10.0;752;Þย 3์/๑;-9.0;749.0;Þย 3์/๑
2010-02-16;-7.0;740;ย 2์/๑;-7.0;736.0;ย 2์/๑
2010-02-17;-6.0;740;ัว 4์/๑;-10.0;743.0;ัว 4์/๑
2010-02-18;-9.0;751;ว 1์/๑;-14.0;751.0;ว 1์/๑
2010-02-19;-11.0;746;ว 3์/๑;-12.0;748.0;ว 3์/๑
2010-02-20;-4.0;745;ว 2์/๑;-8.0;746.0;ว 2์/๑
2010-02-21;-12.0;743;ย 3์/๑;-12.0;743.0;ย 3์/๑
2010-02-22;-9.0;743;ย 4์/๑;-10.0;743.0;ย 4์/๑
2010-02-23;-7.0;743;ย 3์/๑;-8.0;745.0;ย 3์/๑
2010-02-24;-5.0;746;ัย 2์/๑;-6.0;747.0;ัย 2์/๑
2010-02-25;-3.0;749;-;-3.0;750.0;-
2010-02-26;-3.0;754;-;-5.0;755.0;-
2010-02-27;-3.0;755;Þว 2์/๑;-7.0;755.0;Þว 2์/๑
2010-02-28;-6.0;755;ัว 2์/๑;-10.0;756.0;ัว 2์/๑
2010-03-01;-8.0;758;ย 1์/๑;-10.0;758.0;ย 1์/๑
2010-03-02;-6.0;755;ย 3์/๑;-8.0;753.0;ย 3์/๑
2010-03-03;-4.0;752;ย 1์/๑;-5.0;752.0;ย 1์/๑
2010-03-04;-4.0;750;Þย 2์/๑;-6.0;748.0;Þย 2์/๑
2010-03-05;0.0;747;Þว 2์/๑;-4.0;750.0;Þว 2์/๑
2010-03-06;-5.0;753;ย 2์/๑;-6.0;752.0;ย 2์/๑
2010-03-07;-4.0;749;ย 2์/๑;-4.0;747.0;ย 2์/๑
2010-03-08;-3.0;740;ั 1์/๑;-5.0;742.0;ั 1์/๑
2010-03-09;-6.0;749;ัว 2์/๑;-11.0;750.0;ัว 2์/๑
2010-03-10;-4.0;751;Þว 2์/๑;-8.0;750.0;Þว 2์/๑
2010-03-11;-3.0;746;ว 4์/๑;-4.0;749.0;ว 4์/๑
2010-03-12;-1.0;751;Þ 2์/๑;-5.0;749.0;Þ 2์/๑
2010-03-13;0.0;737;Þว 4์/๑;-1.0;738.0;Þว 4์/๑
2010-03-14;0.0;738;ว 2์/๑;-2.0;738.0;ว 2์/๑
2010-03-15;0.0;742;Þว 4์/๑;-4.0;744.0;Þว 4์/๑
2010-03-16;1.0;738;Þว 3์/๑;-4.0;740.0;Þว 3์/๑
2010-03-17;-5.0;746;ว 3์/๑;-7.0;748.0;ว 3์/๑
2010-03-18;-4.0;754;Þว 2์/๑;-10.0;755.0;Þว 2์/๑
2010-03-19;-7.0;755;ว 4์/๑;-11.0;755.0;ว 4์/๑
2010-03-20;-2.0;746;Þว 2์/๑;-4.0;749.0;Þว 2์/๑
2010-03-21;3.0;746;Þว 1์/๑;1.0;745.0;Þว 1์/๑
2010-03-22;3.0;741;ว 3์/๑;2.0;739.0;ว 3์/๑
2010-03-23;2.0;744;ัว 4์/๑;-3.0;749.0;ัว 4์/๑
2010-03-24;1.0;749;Þว 4์/๑;-1.0;747.0;Þว 4์/๑
2010-03-25;0.0;749;ั 2์/๑;-4.0;752.0;ั 2์/๑
2010-03-26;0.0;758;ัว 3์/๑;-4.0;759.0;ัว 3์/๑
2010-03-27;1.0;758;ว 5์/๑;-2.0;758.0;ว 5์/๑
2010-03-28;4.0;758;Þ 2์/๑;-1.0;758.0;Þ 2์/๑
2010-03-29;5.0;758;ย 2์/๑;0.0;758.0;ย 2์/๑
2010-03-30;5.0;757;ย 2์/๑;2.0;757.0;ย 2์/๑
2010-03-31;8.0;757;Þย 2์/๑;4.0;757.0;Þย 2์/๑
2010-04-01;10.0;757;ย 3์/๑;6.0;758.0;ย 3์/๑
2010-04-02;9.0;759;Þย 2์/๑;5.0;759.0;Þย 2์/๑
2010-04-03;8.0;758;ั 2์/๑;6.0;757.0;ั 2์/๑
2010-04-04;12.0;757;ัย 2์/๑;7.0;756.0;ัย 2์/๑
2010-04-05;11.0;756;ัย 2์/๑;8.0;755.0;ัย 2์/๑
2010-04-06;12.0;755;ัย 3์/๑;;;
2010-04-07;4.0;759;ย 3์/๑;1.0;760.0;ย 3์/๑
2010-04-08;4.0;761;ย 3์/๑;0.0;761.0;ย 3์/๑
2010-04-09;6.0;758;ย 2์/๑;3.0;757.0;ย 2์/๑
2010-04-10;9.0;755;ย 3์/๑;5.0;755.0;ย 3์/๑
2010-04-11;9.0;754;ั 3์/๑;5.0;753.0;ั 3์/๑
2010-04-12;12.0;753;ัย 3์/๑;7.0;753.0;ัย 3์/๑
2010-04-13;9.0;752;ัว 2์/๑;4.0;752.0;ัว 2์/๑
2010-04-14;8.0;749;ัว 3์/๑;2.0;751.0;ัว 3์/๑
2010-04-15;11.0;752;Þว 2์/๑;8.0;751.0;Þว 2์/๑
2010-04-16;13.0;751;ว 2์/๑;9.0;752.0;ว 2์/๑
2010-04-17;17.0;752;Þ 3์/๑;10.0;752.0;Þ 3์/๑
2010-04-18;13.0;748;Þว 1์/๑;11.0;750.0;Þว 1์/๑
2010-04-19;17.0;749;ัว 3์/๑;12.0;750.0;ัว 3์/๑
2010-04-20;20.0;750;Þว 3์/๑;16.0;751.0;Þว 3์/๑
2010-04-21;21.0;751;Þย 2์/๑;17.0;750.0;Þย 2์/๑
2010-04-22;23.0;747;Þ 4์/๑;19.0;746.0;Þ 4์/๑
2010-04-23;18.0;748;ว 4์/๑;13.0;752.0;ว 4์/๑
2010-04-24;14.0;758;Þว 3์/๑;10.0;758.0;Þว 3์/๑
2010-04-25;17.0;752;Þว 3์/๑;12.0;749.0;Þว 3์/๑
2010-04-26;11.0;749;ั 3์/๑;4.0;749.0;ั 3์/๑
2010-04-27;5.0;750;ัย 2์/๑;1.0;752.0;ัย 2์/๑
2010-04-28;11.0;749;ัว 5์/๑;8.0;749.0;ัว 5์/๑
2010-04-29;15.0;747;ว 4์/๑;10.0;748.0;ว 4์/๑
2010-04-30;17.0;751;Þว 2์/๑;14.0;750.0;Þว 2์/๑
2010-05-01;17.0;752;Þ 3์/๑;15.0;752.0;Þ 3์/๑
2010-05-02;20.0;753;ว 3์/๑;19.0;752.0;ว 3์/๑
2010-05-03;21.0;754;ว 2์/๑;21.0;754.0;ว 2์/๑
2010-05-04;26.0;755;Þว 3์/๑;18.0;755.0;Þว 3์/๑
2010-05-05;28.0;754;ว 1์/๑;19.0;752.0;ว 1์/๑
2010-05-06;29.0;752;ัว 2์/๑;21.0;752.0;ัว 2์/๑
2010-05-07;30.0;751;ว 2์/๑;24.0;750.0;ว 2์/๑
2010-05-08;27.0;753;ัย 3์/๑;20.0;753.0;ัย 3์/๑
2010-05-09;26.0;751;ย 3์/๑;22.0;751.0;ย 3์/๑
2010-05-10;24.0;752;ย 4์/๑;19.0;752.0;ย 4์/๑
2010-05-11;24.0;755;ย 3์/๑;19.0;756.0;ย 3์/๑
2010-05-12;25.0;755;Þย 2์/๑;21.0;753.0;Þย 2์/๑
2010-05-13;22.0;754;Þย 2์/๑;18.0;753.0;Þย 2์/๑
2010-05-14;25.0;751;Þย 6์/๑;16.0;752.0;Þย 6์/๑
2010-05-15;20.0;752;ย 3์/๑;19.0;752.0;ย 3์/๑
2010-05-16;26.0;750;Þย 2์/๑;20.0;749.0;Þย 2์/๑
2010-05-17;26.0;747;ัว 1์/๑;23.0;746.0;ัว 1์/๑
2010-05-18;21.0;746;ัย 2์/๑;17.0;747.0;ัย 2์/๑
2010-05-19;22.0;746;ั 2์/๑;16.0;746.0;ั 2์/๑
2010-05-20;20.0;749;ัย 4์/๑;15.0;750.0;ัย 4์/๑
2010-05-21;18.0;754;Þย 2์/๑;11.0;753.0;Þย 2์/๑
2010-05-22;21.0;749;Þว 3์/๑;17.0;748.0;Þว 3์/๑
2010-05-23;24.0;746;ว 2์/๑;16.0;746.0;ว 2์/๑
2010-05-24;26.0;743;Þย 1์/๑;19.0;743.0;Þย 1์/๑
2010-05-25;24.0;741;Þย 2์/๑;20.0;740.0;Þย 2์/๑
2010-05-26;19.0;737;Þย 2์/๑;19.0;737.0;Þย 2์/๑
2010-05-27;15.0;738;Þว 4์/๑;11.0;740.0;Þว 4์/๑
2010-05-28;13.0;739;Þว 3์/๑;13.0;741.0;Þว 3์/๑
2010-05-29;13.0;747;ัว 2์/๑;12.0;749.0;ัว 2์/๑
2010-05-30;20.0;752;ย 2์/๑;15.0;752.0;ย 2์/๑
