ฤเ๒เ;ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
2015-01-01;-14.0;743;ว 2์/๑;-12.0;744.0;ว 2์/๑
2015-01-02;-7.0;743;Þ 2์/๑;-7.0;740.0;Þ 2์/๑
2015-01-03;-1.0;733;Þว 2์/๑;0.0;733.0;Þว 2์/๑
2015-01-04;0.0;735;Þว 2์/๑;0.0;735.0;Þว 2์/๑
2015-01-05;-3.0;738;Þว 3์/๑;-2.0;737.0;Þว 3์/๑
2015-01-06;-6.0;741;ัว 2์/๑;-12.0;745.0;ัว 2์/๑
2015-01-07;-22.0;750;ั 1์/๑;-27.0;752.0;ั 1์/๑
2015-01-08;-22.0;752;ว 1์/๑;-21.0;750.0;ว 1์/๑
2015-01-09;-13.0;746;ว 3์/๑;-12.0;745.0;ว 3์/๑
2015-01-10;-9.0;744;Þ 3์/๑;-5.0;745.0;Þ 3์/๑
2015-01-11;-10.0;741;Þย 4์/๑;-8.0;737.0;Þย 4์/๑
2015-01-12;-1.0;738;Þว 2์/๑;-1.0;739.0;Þว 2์/๑
2015-01-13;-1.0;742;ว 3์/๑;-3.0;740.0;ว 3์/๑
2015-01-14;1.0;746;ว 3์/๑;2.0;746.0;ว 3์/๑
2015-01-15;2.0;751;Þว 1์/๑;-2.0;751.0;Þว 1์/๑
2015-01-16;-3.0;749;ัว 1์/๑;-1.0;752.0;ัว 1์/๑
2015-01-17;-3.0;756;ว 1์/๑;-8.0;756.0;ว 1์/๑
2015-01-18;-8.0;752;ว 2์/๑;-5.0;752.0;ว 2์/๑
2015-01-19;-1.0;749;ว 1์/๑;-1.0;749.0;ว 1์/๑
2015-01-20;-3.0;754;ัว 3์/๑;-11.0;758.0;ัว 3์/๑
2015-01-21;-13.0;760;ัว 1์/๑;-16.0;759.0;ัว 1์/๑
2015-01-22;-12.0;759;ั 2์/๑;-17.0;762.0;ั 2์/๑
2015-01-23;-15.0;770;ว 1์/๑;-20.0;771.0;ว 1์/๑
2015-01-24;-17.0;771;Þย 1์/๑;-20.0;771.0;Þย 1์/๑
2015-01-25;-15.0;772;Þ 2์/๑;-17.0;771.0;Þ 2์/๑
2015-01-26;-18.0;767;ย 2์/๑;-21.0;766.0;ย 2์/๑
2015-01-27;-17.0;763;ย 3์/๑;-19.0;762.0;ย 3์/๑
2015-01-28;-17.0;757;ย 2์/๑;-17.0;757.0;ย 2์/๑
2015-01-29;-17.0;754;Þย 2์/๑;-18.0;754.0;Þย 2์/๑
2015-01-30;-16.0;754;Þย 2์/๑;-16.0;754.0;Þย 2์/๑
2015-01-31;-9.0;756;Þย 2์/๑;-10.0;756.0;Þย 2์/๑
2015-02-01;-9.0;755;ย 3์/๑;-12.0;754.0;ย 3์/๑
2015-02-02;-5.0;747;Þย 3์/๑;-4.0;747.0;Þย 3์/๑
2015-02-03;-5.0;748;Þย 3์/๑;-6.0;748.0;Þย 3์/๑
2015-02-04;-6.0;748;Þย 3์/๑;-6.0;748.0;Þย 3์/๑
2015-02-05;-2.0;748;ว 3์/๑;-3.0;750.0;ว 3์/๑
2015-02-06;-5.0;751;Þ 2์/๑;-6.0;748.0;Þ 2์/๑
2015-02-07;-7.0;740;ั 2์/๑;-11.0;739.0;ั 2์/๑
2015-02-08;-10.0;738;ว 1์/๑;-13.0;740.0;ว 1์/๑
2015-02-09;-5.0;740;Þ 3์/๑;-4.0;742.0;Þ 3์/๑
2015-02-10;-2.0;750;Þ 2์/๑;-4.0;751.0;Þ 2์/๑
2015-02-11;-7.0;752;ว 2์/๑;-10.0;751.0;ว 2์/๑
2015-02-12;-4.0;754;Þว 3์/๑;-7.0;754.0;Þว 3์/๑
2015-02-13;-5.0;753;ว 2์/๑;-4.0;754.0;ว 2์/๑
2015-02-14;3.0;757;ัว 1์/๑;-6.0;756.0;ัว 1์/๑
2015-02-15;-5.0;748;Þว 2์/๑;-6.0;746.0;Þว 2์/๑
2015-02-16;-10.0;752;ั 3์/๑;-12.0;755.0;ั 3์/๑
2015-02-17;-11.0;761;ั 1์/๑;-15.0;763.0;ั 1์/๑
2015-02-18;-9.0;759;Þว 1์/๑;-17.0;756.0;Þว 1์/๑
2015-02-19;-10.0;749;ว 1์/๑;-12.0;750.0;ว 1์/๑
2015-02-20;-9.0;751;ว 3์/๑;-11.0;750.0;ว 3์/๑
2015-02-21;-4.0;750;ว 3์/๑;-4.0;751.0;ว 3์/๑
2015-02-22;0.0;756;Þ 2์/๑;0.0;756.0;Þ 2์/๑
2015-02-23;2.0;758;ว 3์/๑;-3.0;759.0;ว 3์/๑
2015-02-24;4.0;762;ว 1์/๑;-6.0;763.0;ว 1์/๑
2015-02-25;2.0;765;Þย 1์/๑;-6.0;766.0;Þย 1์/๑
2015-02-26;-2.0;767;Þย 2์/๑;-6.0;767.0;Þย 2์/๑
2015-02-27;-6.0;764;Þ 1์/๑;-7.0;764.0;Þ 1์/๑
2015-02-28;-4.0;761;Þย 1์/๑;-6.0;761.0;Þย 1์/๑
2015-03-01;-2.0;758;ย 3์/๑;-5.0;758.0;ย 3์/๑
2015-03-02;-2.0;756;Þย 2์/๑;-6.0;756.0;Þย 2์/๑
2015-03-03;-3.0;755;ย 2์/๑;-6.0;755.0;ย 2์/๑
2015-03-04;-2.0;752;ย 1์/๑;-8.0;752.0;ย 1์/๑
2015-03-05;-8.0;755;Þย 2์/๑;-11.0;756.0;Þย 2์/๑
2015-03-06;-6.0;758;Þย 1์/๑;-11.0;759.0;Þย 1์/๑
2015-03-07;-7.0;758;ย 1์/๑;-10.0;758.0;ย 1์/๑
2015-03-08;-3.0;758;ว 1์/๑;-10.0;758.0;ว 1์/๑
2015-03-09;-2.0;754;Þว 2์/๑;-1.0;752.0;Þว 2์/๑
2015-03-10;4.0;752;ั 2์/๑;2.0;756.0;ั 2์/๑
2015-03-11;4.0;759;Þว 2์/๑;2.0;758.0;Þว 2์/๑
2015-03-12;3.0;759;Þว 2์/๑;1.0;760.0;Þว 2์/๑
2015-03-13;4.0;765;ัย 3์/๑;0.0;767.0;ัย 3์/๑
2015-03-14;7.0;768;ัว 2์/๑;3.0;768.0;ัว 2์/๑
2015-03-15;6.0;764;ัว 2์/๑;1.0;764.0;ัว 2์/๑
2015-03-16;1.0;768;ัย 3์/๑;-2.0;770.0;ัย 3์/๑
2015-03-17;5.0;770;ัว 1์/๑;-1.0;769.0;ัว 1์/๑
2015-03-18;6.0;765;ว 2์/๑;-2.0;764.0;ว 2์/๑
2015-03-19;9.0;760;ัว 1์/๑;-1.0;759.0;ัว 1์/๑
2015-03-20;5.0;754;Þ 2์/๑;0.0;752.0;Þ 2์/๑
2015-03-21;2.0;746;Þ 2์/๑;-2.0;743.0;Þ 2์/๑
2015-03-22;2.0;741;Þว 2์/๑;2.0;740.0;Þว 2์/๑
2015-03-23;-2.0;747;ั 2์/๑;-5.0;750.0;ั 2์/๑
2015-03-24;-2.0;749;Þว 4์/๑;-2.0;748.0;Þว 4์/๑
2015-03-25;5.0;749;ว 4์/๑;3.0;752.0;ว 4์/๑
2015-03-26;1.0;758;ย 3์/๑;-2.0;759.0;ย 3์/๑
2015-03-27;-1.0;765;ัย 4์/๑;-3.0;767.0;ัย 4์/๑
2015-03-28;1.0;770;ย 2์/๑;-3.0;771.0;ย 2์/๑
2015-03-29;-1.0;772;Þย 2์/๑;-4.0;770.0;Þย 2์/๑
2015-03-30;-1.0;765;Þย 3์/๑;-4.0;764.0;Þย 3์/๑
2015-03-31;3.0;761;Þย 2์/๑;0.0;759.0;Þย 2์/๑
2015-04-01;6.0;755;ย 2์/๑;0.0;755.0;ย 2์/๑
2015-04-02;4.0;753;Þย 3์/๑;0.0;753.0;Þย 3์/๑
2015-04-03;5.0;750;ย 4์/๑;1.0;750.0;ย 4์/๑
2015-04-04;0.0;752;ย 2์/๑;1.0;752.0;ย 2์/๑
2015-04-05;1.0;751;ย 2์/๑;0.0;749.0;ย 2์/๑
2015-04-06;6.0;752;Þว 3์/๑;4.0;753.0;Þว 3์/๑
2015-04-07;9.0;753;Þว 3์/๑;6.0;753.0;Þว 3์/๑
2015-04-08;9.0;749;ย 3์/๑;5.0;745.0;ย 3์/๑
2015-04-09;8.0;737;Þว 3์/๑;6.0;738.0;Þว 3์/๑
2015-04-10;8.0;746;ว 2์/๑;6.0;746.0;ว 2์/๑
2015-04-11;10.0;745;ว 4์/๑;7.0;746.0;ว 4์/๑
2015-04-12;10.0;754;ัว 3์/๑;2.0;755.0;ัว 3์/๑
2015-04-13;14.0;753;Þ 3์/๑;10.0;752.0;Þ 3์/๑
2015-04-14;15.0;747;Þ 2์/๑;11.0;746.0;Þ 2์/๑
2015-04-15;17.0;743;Þ 3์/๑;5.0;745.0;Þ 3์/๑
2015-04-16;13.0;743;Þว 3์/๑;8.0;743.0;Þว 3์/๑
2015-04-17;14.0;738;ว 5์/๑;10.0;740.0;ว 5์/๑
2015-04-18;11.0;740;ว 2์/๑;7.0;740.0;ว 2์/๑
2015-04-19;10.0;737;ย 2์/๑;7.0;737.0;ย 2์/๑
2015-04-20;3.0;733;ว 5์/๑;4.0;737.0;ว 5์/๑
2015-04-21;6.0;740;ว 2์/๑;4.0;742.0;ว 2์/๑
2015-04-22;7.0;740;-;1.0;739.0;-
2015-04-23;7.0;740;Þว 5์/๑;6.0;740.0;Þว 5์/๑
2015-04-24;11.0;736;ว 4์/๑;8.0;740.0;ว 4์/๑
2015-04-25;10.0;740;Þ 2์/๑;6.0;740.0;Þ 2์/๑
2015-04-26;10.0;746;ัว 4์/๑;5.0;748.0;ัว 4์/๑
2015-04-27;9.0;747;ว 1์/๑;9.0;749.0;ว 1์/๑
2015-04-28;13.0;753;ย 3์/๑;13.0;752.0;ย 3์/๑
2015-04-29;25.0;752;ว 2์/๑;18.0;754.0;ว 2์/๑
2015-04-30;25.0;752;Þ 2์/๑;20.0;752.0;Þ 2์/๑
2015-05-01;23.0;752;Þย 1์/๑;18.0;752.0;Þย 1์/๑
2015-05-02;23.0;750;ย 2์/๑;18.0;750.0;ย 2์/๑
2015-05-03;23.0;746;ย 2์/๑;18.0;745.0;ย 2์/๑
2015-05-04;24.0;741;ัว 2์/๑;17.0;742.0;ัว 2์/๑
2015-05-05;21.0;745;ัว 2์/๑;14.0;747.0;ัว 2์/๑
2015-05-06;18.0;746;ัย 3์/๑;16.0;746.0;ัย 3์/๑
2015-05-07;12.0;746;ัย 2์/๑;11.0;746.0;ัย 2์/๑
2015-05-08;18.0;743;ัย 2์/๑;13.0;743.0;ัย 2์/๑
2015-05-09;8.0;743;ั 2์/๑;5.0;744.0;ั 2์/๑
2015-05-10;15.0;748;ั 2์/๑;12.0;750.0;ั 2์/๑
2015-05-11;18.0;755;ว 2์/๑;14.0;755.0;ว 2์/๑
2015-05-12;19.0;754;Þ 1์/๑;13.0;753.0;Þ 1์/๑
2015-05-13;19.0;750;ัว 1์/๑;16.0;749.0;ัว 1์/๑
2015-05-14;15.0;746;ย 2์/๑;12.0;746.0;ย 2์/๑
2015-05-15;20.0;745;ว 2์/๑;17.0;744.0;ว 2์/๑
2015-05-16;15.0;739;Þว 2์/๑;12.0;738.0;Þว 2์/๑
2015-05-17;15.0;736;ว 3์/๑;11.0;736.0;ว 3์/๑
2015-05-18;10.0;737;ว 3์/๑;9.0;738.0;ว 3์/๑
2015-05-19;12.0;740;ว 2์/๑;8.0;742.0;ว 2์/๑
2015-05-20;16.0;746;ว 2์/๑;13.0;746.0;ว 2์/๑
2015-05-21;19.0;750;ั 2์/๑;16.0;752.0;ั 2์/๑
2015-05-22;26.0;752;ัว 3์/๑;15.0;752.0;ัว 3์/๑
2015-05-23;28.0;750;ว 2์/๑;21.0;749.0;ว 2์/๑
2015-05-24;29.0;749;Þว 3์/๑;20.0;749.0;Þว 3์/๑
2015-05-25;29.0;750;ว 3์/๑;23.0;751.0;ว 3์/๑
2015-05-26;28.0;751;Þ 2์/๑;18.0;751.0;Þ 2์/๑
2015-05-27;29.0;751;ว 3์/๑;24.0;750.0;ว 3์/๑
2015-05-28;30.0;747;Þ 2์/๑;24.0;748.0;Þ 2์/๑
2015-05-29;25.0;749;-;24.0;749.0;-
2015-05-30;28.0;750;Þย 1์/๑;24.0;750.0;Þย 1์/๑
2015-05-31;31.0;750;Þย 2์/๑;26.0;749.0;Þย 2์/๑
2015-06-01;33.0;746;ย 2์/๑;24.0;747.0;ย 2์/๑
2015-06-02;28.0;749;Þ 2์/๑;20.0;749.0;Þ 2์/๑
2015-06-03;19.0;748;ว 2์/๑;18.0;747.0;ว 2์/๑
2015-06-04;28.0;746;ว 3์/๑;18.0;746.0;ว 3์/๑
2015-06-05;23.0;747;ัว 3์/๑;19.0;747.0;ัว 3์/๑
2015-06-06;19.0;749;ัว 3์/๑;13.0;750.0;ัว 3์/๑
2015-06-07;20.0;752;ัว 3์/๑;13.0;752.0;ัว 3์/๑
2015-06-08;26.0;747;ว 3์/๑;18.0;747.0;ว 3์/๑
2015-06-09;24.0;750;ัว 3์/๑;18.0;749.0;ัว 3์/๑
2015-06-10;21.0;750;ั 2์/๑;15.0;750.0;ั 2์/๑
2015-06-11;19.0;749;ัว 2์/๑;11.0;749.0;ัว 2์/๑
2015-06-12;23.0;746;ว 2์/๑;13.0;746.0;ว 2์/๑
2015-06-13;21.0;750;ัว 2์/๑;17.0;750.0;ัว 2์/๑
2015-06-14;28.0;749;Þว 2์/๑;19.0;749.0;Þว 2์/๑
2015-06-15;32.0;747;ว 3์/๑;28.0;746.0;ว 3์/๑
2015-06-16;32.0;746;Þว 2์/๑;28.0;746.0;Þว 2์/๑
2015-06-17;35.0;746;ว 2์/๑;29.0;744.0;ว 2์/๑
2015-06-18;32.0;744;ั 1์/๑;24.0;745.0;ั 1์/๑
2015-06-19;33.0;745;ย 2์/๑;25.0;746.0;ย 2์/๑
