ฤเ๒เ;ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
2021.01.01;-9.0;761;ย 2์/๑;-11.0;761.0;ย 2์/๑
2021.01.02;-12.0;761;ย 3์/๑;-11.0;760.0;ย 3์/๑
2021.01.03;-6.0;762;Þย 1์/๑;-5.0;764.0;Þย 1์/๑
2021.01.04;-4.0;767;Þย 1์/๑;-3.0;767.0;Þย 1์/๑
2021.01.05;-6.0;766;Þว 2์/๑;-9.0;766.0;Þว 2์/๑
2021.01.06;-13.0;764;ย 3์/๑;-15.0;764.0;ย 3์/๑
2021.01.07;-12.0;759;ย 3์/๑;-11.0;758.0;ย 3์/๑
2021.01.08;-8.0;755;ย 4์/๑;-9.0;752.0;ย 4์/๑
2021.01.09;-3.0;751;ย 2์/๑;-3.0;748.0;ย 2์/๑
2021.01.10;-3.0;741;ว 3์/๑;-6.0;745.0;ว 3์/๑
2021.01.11;-15.0;749;ั 2์/๑;-19.0;750.0;ั 2์/๑
2021.01.12;-17.0;754;ย 2์/๑;-18.0;755.0;ย 2์/๑
2021.01.13;-17.0;759;ย 3์/๑;-16.0;758.0;ย 3์/๑
2021.01.14;-11.0;749;ย 3์/๑;-10.0;747.0;ย 3์/๑
2021.01.15;-6.0;743;ัย 3์/๑;-6.0;740.0;ัย 3์/๑
2021.01.16;-7.0;740;Þว 3์/๑;-5.0;739.0;Þว 3์/๑
2021.01.17;-14.0;746;ว 2์/๑;-18.0;749.0;ว 2์/๑
2021.01.18;-18.0;751;ว 1์/๑;-17.0;749.0;ว 1์/๑
2021.01.19;-16.0;746;ว 2์/๑;-21.0;747.0;ว 2์/๑
2021.01.20;-19.0;749;ว 2์/๑;-21.0;751.0;ว 2์/๑
2021.01.21;-14.0;752;ว 3์/๑;-12.0;752.0;ว 3์/๑
2021.01.22;-10.0;750;ว 2์/๑;-14.0;753.0;ว 2์/๑
2021.01.23;-9.0;755;ย 2์/๑;-8.0;754.0;ย 2์/๑
2021.01.24;3.0;757;Þว 1์/๑;0.0;758.0;Þว 1์/๑
