ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
-20.0;765;ย 2์/๑;-22.0;765.0;ย 2์/๑
-20.0;764;-;-24.0;764.0;-
-20.0;762;ว 2์/๑;-20.0;761.0;ว 2์/๑
-9.0;756;Þว 3์/๑;-7.0;754.0;Þว 3์/๑
-6.0;751;Þว 2์/๑;-4.0;752.0;Þว 2์/๑
-1.0;753;ว 1์/๑;-2.0;754.0;ว 1์/๑
-1.0;759;-;-2.0;762.0;-
-4.0;765;Þ 3์/๑;-4.0;765.0;Þ 3์/๑
-8.0;765;Þ 1์/๑;-10.0;765.0;Þ 1์/๑
-9.0;765;-;-12.0;765.0;-
-9.0;762;Þ 3์/๑;-14.0;762.0;Þ 3์/๑
-15.0;759;ย 2์/๑;-17.0;759.0;ย 2์/๑
-13.0;753;ย 4์/๑;-11.0;751.0;ย 4์/๑
-9.0;751;Þ 3์/๑;-9.0;751.0;Þ 3์/๑
-11.0;750;ย 3์/๑;-10.0;751.0;ย 3์/๑
-8.0;753;ย 1์/๑;-10.0;751.0;ย 1์/๑
-4.0;742;Þ 2์/๑;-3.0;741.0;Þ 2์/๑
-1.0;735;ย 2์/๑;-2.0;735.0;ย 2์/๑
-1.0;741;Þย 3์/๑;-3.0;744.0;Þย 3์/๑
-4.0;749;Þ 1์/๑;-5.0;750.0;Þ 1์/๑
-6.0;753;ั 1์/๑;-5.0;753.0;ั 1์/๑
-7.0;753;ย 1์/๑;-11.0;753.0;ย 1์/๑
-11.0;753;Þย 1์/๑;-14.0;753.0;Þย 1์/๑
-12.0;756;ย 1์/๑;-11.0;758.0;ย 1์/๑
-6.0;756;ย 1์/๑;-5.0;754.0;ย 1์/๑
-3.0;756;ว 4์/๑;-2.0;754.0;ว 4์/๑
-1.0;759;ว 1์/๑;-9.0;760.0;ว 1์/๑
-6.0;760;ว 2์/๑;-9.0;761.0;ว 2์/๑
-8.0;765;-;-6.0;767.0;-
-10.0;773;ย 2์/๑;-15.0;773.0;ย 2์/๑
-14.0;774;Þว 3์/๑;-18.0;772.0;Þว 3์/๑
-12.0;762;Þว 3์/๑;-11.0;762.0;Þว 3์/๑
-3.0;760;Þว 1์/๑;-3.0;762.0;Þว 1์/๑
-5.0;763;Þว 1์/๑;-7.0;763.0;Þว 1์/๑
-4.0;758;Þว 4์/๑;-6.0;755.0;Þว 4์/๑
-6.0;746;Þว 4์/๑;-9.0;744.0;Þว 4์/๑
-13.0;744;ย 2์/๑;-13.0;741.0;ย 2์/๑
-10.0;741;Þว 2์/๑;-17.0;744.0;Þว 2์/๑
-11.0;750;ว 2์/๑;-16.0;753.0;ว 2์/๑
-14.0;751;Þว 3์/๑;-15.0;750.0;Þว 3์/๑
-13.0;746;Þย 2์/๑;-14.0;744.0;Þย 2์/๑
-8.0;735;ัว 2์/๑;-13.0;735.0;ัว 2์/๑
-8.0;740;ัว 4์/๑;-10.0;744.0;ัว 4์/๑
-7.0;750;ว 3์/๑;-8.0;746.0;ว 3์/๑
1.0;734;Þว 4์/๑;1.0;732.0;Þว 4์/๑
3.0;739;Þว 3์/๑;1.0;741.0;Þว 3์/๑
0.0;741;Þว 4์/๑;1.0;738.0;Þว 4์/๑
0.0;728;Þว 3์/๑;1.0;735.0;Þว 3์/๑
2.0;744;ว 3์/๑;0.0;745.0;ว 3์/๑
2.0;741;Þว 3์/๑;1.0;740.0;Þว 3์/๑
2.0;738;Þว 3์/๑;1.0;740.0;Þว 3์/๑
3.0;743;Þ 3์/๑;2.0;742.0;Þ 3์/๑
2.0;738;ย 3์/๑;3.0;737.0;ย 3์/๑
2.0;736;Þ 2์/๑;1.0;738.0;Þ 2์/๑
1.0;735;ย 1์/๑;0.0;735.0;ย 1์/๑
1.0;744;ว 3์/๑;-1.0;748.0;ว 3์/๑
1.0;750;Þว 5์/๑;-1.0;751.0;Þว 5์/๑
2.0;747;Þว 4์/๑;0.0;744.0;Þว 4์/๑
2.0;742;ว 2์/๑;0.0;746.0;ว 2์/๑
1.0;753;ั 2์/๑;-3.0;754.0;ั 2์/๑
-2.0;752;ัย 3์/๑;-4.0;752.0;ัย 3์/๑
0.0;752;ั 2์/๑;-4.0;752.0;ั 2์/๑
0.0;751;Þย 2์/๑;-3.0;750.0;Þย 2์/๑
3.0;746;Þ 2์/๑;-1.0;746.0;Þ 2์/๑
4.0;744;-;-1.0;744.0;-
4.0;741;ย 1์/๑;1.0;741.0;ย 1์/๑
0.0;738;ย 1์/๑;-1.0;744.0;ย 1์/๑
2.0;735;Þว 3์/๑;1.0;737.0;Þว 3์/๑
0.0;737;ย 2์/๑;1.0;735.0;ย 2์/๑
4.0;741;Þย 1์/๑;2.0;738.0;Þย 1์/๑
4.0;746;Þว 4์/๑;2.0;740.0;Þว 4์/๑
5.0;741;Þว 4์/๑;3.0;740.0;Þว 4์/๑
2.0;738;ว 1์/๑;1.0;742.0;ว 1์/๑
3.0;748;Þ 1์/๑;2.0;748.0;Þ 1์/๑
4.0;745;Þย 2์/๑;2.0;747.0;Þย 2์/๑
10.0;744;ย 2์/๑;5.0;742.0;ย 2์/๑
15.0;738;ย 3์/๑;10.0;741.0;ย 3์/๑
12.0;746;Þว 2์/๑;10.0;747.0;Þว 2์/๑
8.0;756;ว 2์/๑;5.0;758.0;ว 2์/๑
9.0;759;ั 2์/๑;5.0;759.0;ั 2์/๑
7.0;754;ั 4์/๑;5.0;753.0;ั 4์/๑
10.0;753;ั 2์/๑;5.0;753.0;ั 2์/๑
11.0;752;ัย 4์/๑;5.0;752.0;ัย 4์/๑
10.0;749;ัย 3์/๑;6.0;749.0;ัย 3์/๑
15.0;748;ัย 4์/๑;10.0;749.0;ัย 4์/๑
17.0;746;ัย 2์/๑;11.0;747.0;ัย 2์/๑
17.0;747;ย 2์/๑;14.0;748.0;ย 2์/๑
20.0;753;Þว 2์/๑;16.0;753.0;Þว 2์/๑
20.0;755;Þ 3์/๑;16.0;756.0;Þ 3์/๑
19.0;755;Þ 3์/๑;14.0;754.0;Þ 3์/๑
20.0;753;Þ 3์/๑;15.0;753.0;Þ 3์/๑
21.0;752;Þ 2์/๑;17.0;752.0;Þ 2์/๑
22.0;750;Þ 3์/๑;14.0;750.0;Þ 3์/๑
21.0;747;Þว 2์/๑;17.0;747.0;Þว 2์/๑
20.0;747;ั 2์/๑;13.0;748.0;ั 2์/๑
9.0;743;ย 4์/๑;5.0;740.0;ย 4์/๑
8.0;747;ย 3์/๑;3.0;752.0;ย 3์/๑
8.0;758;ย 2์/๑;5.0;759.0;ย 2์/๑
11.0;759;Þย 3์/๑;7.0;758.0;Þย 3์/๑
12.0;756;Þย 4์/๑;9.0;754.0;Þย 4์/๑
12.0;753;Þย 2์/๑;10.0;751.0;Þย 2์/๑
15.0;748;ว 2์/๑;10.0;748.0;ว 2์/๑
19.0;746;Þ 2์/๑;14.0;746.0;Þ 2์/๑
18.0;742;ว 2์/๑;13.0;742.0;ว 2์/๑
9.0;746;ัว 3์/๑;9.0;747.0;ัว 3์/๑
4.0;742;ั 2์/๑;5.0;744.0;ั 2์/๑
13.0;750;Þว 3์/๑;11.0;752.0;Þว 3์/๑
16.0;752;Þว 3์/๑;10.0;753.0;Þว 3์/๑
14.0;755;ัว 4์/๑;8.0;753.0;ัว 4์/๑
15.0;752;ว 1์/๑;9.0;752.0;ว 1์/๑
17.0;752;ัว 2์/๑;12.0;753.0;ัว 2์/๑
20.0;754;ว 2์/๑;15.0;755.0;ว 2์/๑
21.0;752;ว 2์/๑;16.0;750.0;ว 2์/๑
14.0;751;ัย 4์/๑;8.0;753.0;ัย 4์/๑
13.0;754;ั 4์/๑;9.0;754.0;ั 4์/๑
15.0;755;ัย 2์/๑;8.0;754.0;ัย 2์/๑
17.0;752;ว 1์/๑;11.0;751.0;ว 1์/๑
19.0;746;ว 2์/๑;14.0;744.0;ว 2์/๑
20.0;742;ว 2์/๑;16.0;743.0;ว 2์/๑
20.0;741;ั 3์/๑;15.0;743.0;ั 3์/๑
19.0;746;ว 2์/๑;12.0;748.0;ว 2์/๑
20.0;751;ว 2์/๑;14.0;752.0;ว 2์/๑
24.0;748;ย 3์/๑;19.0;748.0;ย 3์/๑
24.0;745;ั 2์/๑;15.0;745.0;ั 2์/๑
21.0;744;Þว 3์/๑;15.0;744.0;Þว 3์/๑
12.0;738;ย 1์/๑;11.0;736.0;ย 1์/๑
10.0;741;Þว 4์/๑;7.0;744.0;Þว 4์/๑
13.0;749;ว 3์/๑;11.0;750.0;ว 3์/๑
21.0;749;Þว 3์/๑;18.0;749.0;Þว 3์/๑
22.0;751;ว 1์/๑;18.0;752.0;ว 1์/๑
27.0;752;Þว 3์/๑;21.0;752.0;Þว 3์/๑
29.0;752;Þว 2์/๑;21.0;751.0;Þว 2์/๑
29.0;750;Þว 1์/๑;21.0;750.0;Þว 1์/๑
29.0;748;Þว 1์/๑;19.0;748.0;Þว 1์/๑
18.0;751;ั 4์/๑;17.0;752.0;ั 4์/๑
20.0;748;ย 2์/๑;22.0;745.0;ย 2์/๑
25.0;744;ว 2์/๑;20.0;743.0;ว 2์/๑
22.0;739;ัว 2์/๑;16.0;741.0;ัว 2์/๑
17.0;744;ั 2์/๑;15.0;744.0;ั 2์/๑
10.0;742;ั 3์/๑;9.0;741.0;ั 3์/๑
11.0;738;ัว 2์/๑;10.0;739.0;ัว 2์/๑
19.0;740;ว 2์/๑;13.0;741.0;ว 2์/๑
12.0;740;ัย 1์/๑;12.0;740.0;ัย 1์/๑
16.0;742;ว 2์/๑;11.0;744.0;ว 2์/๑
13.0;747;ว 1์/๑;11.0;748.0;ว 1์/๑
19.0;747;-;12.0;748.0;-
19.0;746;ว 1์/๑;16.0;746.0;ว 1์/๑
16.0;739;Þว 3์/๑;12.0;740.0;Þว 3์/๑
14.0;743;ัว 3์/๑;11.0;743.0;ัว 3์/๑
12.0;744;ั 3์/๑;8.0;746.0;ั 3์/๑
9.0;749;ั 3์/๑;7.0;749.0;ั 3์/๑
14.0;748;Þว 4์/๑;14.0;746.0;Þว 4์/๑
21.0;741;Þว 4์/๑;16.0;741.0;Þว 4์/๑
20.0;746;Þว 2์/๑;16.0;745.0;Þว 2์/๑
28.0;747;ว 2์/๑;23.0;746.0;ว 2์/๑
27.0;747;ย 1์/๑;22.0;745.0;ย 1์/๑
26.0;745;ั 1์/๑;22.0;744.0;ั 1์/๑
27.0;744;ั 3์/๑;23.0;744.0;ั 3์/๑
30.0;745;Þย 1์/๑;24.0;745.0;Þย 1์/๑
25.0;746;-;22.0;744.0;-
27.0;744;ว 1์/๑;23.0;744.0;ว 1์/๑
27.0;745;ั 1์/๑;22.0;746.0;ั 1์/๑
23.0;747;ัย 3์/๑;21.0;748.0;ัย 3์/๑
26.0;747;ัย 3์/๑;23.0;746.0;ัย 3์/๑
31.0;742;ย 3์/๑;26.0;741.0;ย 3์/๑
25.0;741;Þว 2์/๑;21.0;741.0;Þว 2์/๑
22.0;740;ัย 2์/๑;20.0;739.0;ัย 2์/๑
17.0;738;ย 1์/๑;17.0;738.0;ย 1์/๑
20.0;740;ว 2์/๑;15.0;742.0;ว 2์/๑
20.0;745;ัว 3์/๑;15.0;746.0;ัว 3์/๑
23.0;747;ัว 2์/๑;16.0;747.0;ัว 2์/๑
21.0;744;Þว 2์/๑;16.0;744.0;Þว 2์/๑
21.0;739;ย 1์/๑;19.0;738.0;ย 1์/๑
19.0;738;ว 1์/๑;17.0;738.0;ว 1์/๑
21.0;738;-;18.0;738.0;-
21.0;738;ั 2์/๑;19.0;738.0;ั 2์/๑
23.0;739;ัย 2์/๑;19.0;739.0;ัย 2์/๑
24.0;738;ย 2์/๑;18.0;738.0;ย 2์/๑
27.0;741;Þย 1์/๑;24.0;741.0;Þย 1์/๑
28.0;743;Þ 3์/๑;21.0;744.0;Þ 3์/๑
24.0;746;ัย 1์/๑;23.0;744.0;ัย 1์/๑
26.0;743;ั 2์/๑;22.0;743.0;ั 2์/๑
26.0;744;Þ 3์/๑;22.0;743.0;Þ 3์/๑
28.0;744;Þว 2์/๑;24.0;744.0;Þว 2์/๑
21.0;742;Þ 2์/๑;19.0;742.0;Þ 2์/๑
23.0;744;ัว 2์/๑;18.0;745.0;ัว 2์/๑
27.0;748;ว 2์/๑;23.0;748.0;ว 2์/๑
30.0;748;ัว 2์/๑;25.0;747.0;ัว 2์/๑
32.0;746;ั 1์/๑;24.0;745.0;ั 1์/๑
32.0;746;ั 2์/๑;27.0;747.0;ั 2์/๑
31.0;748;ย 3์/๑;25.0;747.0;ย 3์/๑
31.0;747;ย 2์/๑;22.0;746.0;ย 2์/๑
31.0;744;ย 1์/๑;28.0;744.0;ย 1์/๑
25.0;747;Þ 1์/๑;22.0;747.0;Þ 1์/๑
28.0;748;ั 2์/๑;24.0;748.0;ั 2์/๑
32.0;749;ัย 1์/๑;27.0;750.0;ัย 1์/๑
31.0;749;ย 1์/๑;24.0;748.0;ย 1์/๑
27.0;746;ั 2์/๑;22.0;746.0;ั 2์/๑
26.0;745;ั 1์/๑;22.0;745.0;ั 1์/๑
22.0;744;-;20.0;744.0;-
15.0;741;ัย 3์/๑;15.0;741.0;ัย 3์/๑
24.0;744;ว 1์/๑;16.0;744.0;ว 1์/๑
21.0;747;Þว 4์/๑;17.0;747.0;Þว 4์/๑
23.0;749;ว 2์/๑;16.0;750.0;ว 2์/๑
23.0;750;Þว 2์/๑;15.0;750.0;Þว 2์/๑
24.0;747;Þว 1์/๑;17.0;747.0;Þว 1์/๑
25.0;747;ว 3์/๑;19.0;747.0;ว 3์/๑
23.0;742;ั 2์/๑;20.0;742.0;ั 2์/๑
24.0;744;ว 2์/๑;21.0;741.0;ว 2์/๑
21.0;738;Þว 3์/๑;19.0;736.0;Þว 3์/๑
17.0;736;ัว 1์/๑;12.0;738.0;ัว 1์/๑
13.0;743;Þว 3์/๑;12.0;746.0;Þว 3์/๑
20.0;748;ว 2์/๑;15.0;748.0;ว 2์/๑
23.0;749;ว 3์/๑;20.0;748.0;ว 3์/๑
30.0;749;Þว 3์/๑;20.0;749.0;Þว 3์/๑
31.0;750;ว 1์/๑;22.0;749.0;ว 1์/๑
33.0;751;ว 1์/๑;22.0;751.0;ว 1์/๑
33.0;751;Þว 1์/๑;23.0;750.0;Þว 1์/๑
33.0;750;ว 1์/๑;23.0;750.0;ว 1์/๑
35.0;750;-;28.0;750.0;-
32.0;752;ั 2์/๑;26.0;751.0;ั 2์/๑
32.0;752;-;23.0;750.0;-
33.0;747;Þ 1์/๑;24.0;746.0;Þ 1์/๑
35.0;744;Þ 1์/๑;27.0;744.0;Þ 1์/๑
23.0;747;ัว 2์/๑;;;
27.0;746;Þ 1์/๑;19.0;744.0;Þ 1์/๑
25.0;747;ว 1์/๑;18.0;747.0;ว 1์/๑
27.0;750;ว 2์/๑;21.0;750.0;ว 2์/๑
28.0;750;Þย 2์/๑;23.0;749.0;Þย 2์/๑
30.0;746;Þว 3์/๑;;;
22.0;740;Þว 5์/๑;18.0;741.0;Þว 5์/๑
19.0;744;ว 3์/๑;15.0;746.0;ว 3์/๑
25.0;744;Þว 3์/๑;22.0;743.0;Þว 3์/๑
24.0;740;Þ 4์/๑;23.0;738.0;Þ 4์/๑
18.0;733;Þว 5์/๑;13.0;735.0;Þว 5์/๑
13.0;741;ว 3์/๑;9.0;745.0;ว 3์/๑
15.0;749;ว 5์/๑;13.0;748.0;ว 5์/๑
14.0;751;ว 2์/๑;15.0;751.0;ว 2์/๑
20.0;753;ว 2์/๑;16.0;753.0;ว 2์/๑
26.0;753;ว 3์/๑;17.0;752.0;ว 3์/๑
29.0;753;Þว 2์/๑;19.0;753.0;Þว 2์/๑
30.0;753;Þ 2์/๑;19.0;751.0;Þ 2์/๑
29.0;748;Þว 3์/๑;22.0;747.0;Þว 3์/๑
29.0;744;Þว 2์/๑;18.0;744.0;Þว 2์/๑
18.0;747;ั 2์/๑;10.0;748.0;ั 2์/๑
16.0;747;ย 3์/๑;13.0;745.0;ย 3์/๑
13.0;741;ย 3์/๑;13.0;739.0;ย 3์/๑
15.0;741;Þว 1์/๑;12.0;741.0;Þว 1์/๑
15.0;742;Þ 1์/๑;13.0;743.0;Þ 1์/๑
11.0;734;ย 2์/๑;11.0;735.0;ย 2์/๑
8.0;746;ั 3์/๑;7.0;749.0;ั 3์/๑
10.0;753;ั 2์/๑;7.0;755.0;ั 2์/๑
12.0;757;ัว 2์/๑;10.0;758.0;ัว 2์/๑
14.0;760;ย 1์/๑;11.0;760.0;ย 1์/๑
14.0;762;ัย 2์/๑;10.0;762.0;ัย 2์/๑
14.0;763;ย 2์/๑;10.0;763.0;ย 2์/๑
15.0;762;ย 2์/๑;9.0;761.0;ย 2์/๑
15.0;759;ย 2์/๑;10.0;759.0;ย 2์/๑
15.0;757;ย 1์/๑;11.0;756.0;ย 1์/๑
13.0;753;-;10.0;753.0;-
10.0;751;ั 3์/๑;6.0;752.0;ั 3์/๑
6.0;753;ั 2์/๑;3.0;752.0;ั 2์/๑
7.0;752;Þย 1์/๑;5.0;751.0;Þย 1์/๑
14.0;747;Þว 4์/๑;12.0;748.0;Þว 4์/๑
14.0;749;Þว 3์/๑;12.0;750.0;Þว 3์/๑
15.0;752;Þ 2์/๑;10.0;753.0;Þ 2์/๑
17.0;753;Þ 1์/๑;11.0;753.0;Þ 1์/๑
20.0;754;Þว 3์/๑;15.0;755.0;Þว 3์/๑
21.0;756;Þ 2์/๑;14.0;757.0;Þ 2์/๑
21.0;756;Þ 2์/๑;15.0;756.0;Þ 2์/๑
21.0;755;-;15.0;755.0;-
21.0;752;-;14.0;752.0;-
21.0;748;ว 1์/๑;15.0;747.0;ว 1์/๑
9.0;746;ั 3์/๑;7.0;747.0;ั 3์/๑
6.0;752;ว 3์/๑;3.0;753.0;ว 3์/๑
5.0;753;-;5.0;753.0;-
7.0;744;Þว 4์/๑;8.0;741.0;Þว 4์/๑
12.0;741;ว 2์/๑;9.0;741.0;ว 2์/๑
12.0;745;ว 4์/๑;8.0;747.0;ว 4์/๑
13.0;742;Þว 4์/๑;11.0;742.0;Þว 4์/๑
10.0;749;ัว 2์/๑;5.0;750.0;ัว 2์/๑
11.0;752;Þว 1์/๑;9.0;752.0;Þว 1์/๑
10.0;753;Þ 2์/๑;8.0;751.0;Þ 2์/๑
7.0;749;Þว 2์/๑;7.0;750.0;Þว 2์/๑
8.0;747;Þ 2์/๑;6.0;744.0;Þ 2์/๑
8.0;748;ั 2์/๑;6.0;751.0;ั 2์/๑
9.0;756;ว 2์/๑;7.0;756.0;ว 2์/๑
11.0;756;ว 2์/๑;8.0;756.0;ว 2์/๑
11.0;756;ว 3์/๑;7.0;757.0;ว 3์/๑
8.0;762;ั 2์/๑;4.0;763.0;ั 2์/๑
9.0;762;-;5.0;762.0;-
9.0;758;Þว 3์/๑;5.0;758.0;Þว 3์/๑
8.0;759;Þว 2์/๑;5.0;759.0;Þว 2์/๑
9.0;760;Þว 2์/๑;6.0;760.0;Þว 2์/๑
11.0;762;Þว 1์/๑;7.0;762.0;Þว 1์/๑
13.0;762;Þ 1์/๑;8.0;761.0;Þ 1์/๑
13.0;759;Þว 3์/๑;8.0;758.0;Þว 3์/๑
11.0;754;Þ 2์/๑;9.0;751.0;Þ 2์/๑
6.0;749;ัว 2์/๑;3.0;751.0;ัว 2์/๑
4.0;751;ว 4์/๑;2.0;753.0;ว 4์/๑
6.0;746;Þ 4์/๑;4.0;743.0;Þ 4์/๑
2.0;743;ัว 2์/๑;1.0;745.0;ัว 2์/๑
-1.0;754;ั 2์/๑;-1.0;756.0;ั 2์/๑
-1.0;755;ัว 2์/๑;1.0;758.0;ัว 2์/๑
2.0;762;ว 2์/๑;1.0;760.0;ว 2์/๑
5.0;757;ว 4์/๑;3.0;758.0;ว 4์/๑
4.0;759;ว 2์/๑;4.0;759.0;ว 2์/๑
7.0;758;ว 3์/๑;3.0;759.0;ว 3์/๑
7.0;761;Þว 2์/๑;3.0;761.0;Þว 2์/๑
4.0;760;-;1.0;759.0;-
6.0;753;ย 2์/๑;4.0;751.0;ย 2์/๑
4.0;748;Þ 2์/๑;5.0;750.0;Þ 2์/๑
6.0;746;Þว 2์/๑;5.0;747.0;Þว 2์/๑
7.0;745;Þ 5์/๑;7.0;746.0;Þ 5์/๑
1.0;744;Þว 5์/๑;1.0;745.0;Þว 5์/๑
0.0;741;Þว 3์/๑;0.0;740.0;Þว 3์/๑
4.0;735;Þว 4์/๑;5.0;736.0;Þว 4์/๑
7.0;743;Þ 3์/๑;9.0;744.0;Þ 3์/๑
10.0;743;ย 4์/๑;8.0;743.0;ย 4์/๑
4.0;752;ย 1์/๑;1.0;753.0;ย 1์/๑
1.0;759;Þว 2์/๑;0.0;758.0;Þว 2์/๑
0.0;749;Þย 2์/๑;1.0;744.0;Þย 2์/๑
1.0;743;ว 1์/๑;-1.0;744.0;ว 1์/๑
1.0;753;Þว 3์/๑;1.0;756.0;Þว 3์/๑
2.0;760;Þว 2์/๑;2.0;761.0;Þว 2์/๑
2.0;764;-;2.0;764.0;-
3.0;765;ัย 2์/๑;0.0;765.0;ัย 2์/๑
1.0;762;ย 3์/๑;0.0;762.0;ย 3์/๑
1.0;762;ย 2์/๑;1.0;763.0;ย 2์/๑
0.0;760;Þ 2์/๑;0.0;759.0;Þ 2์/๑
2.0;758;ว 1์/๑;2.0;756.0;ว 1์/๑
2.0;754;Þ 3์/๑;3.0;754.0;Þ 3์/๑
4.0;753;Þ 2์/๑;4.0;753.0;Þ 2์/๑
5.0;750;ย 2์/๑;2.0;750.0;ย 2์/๑
3.0;751;ย 2์/๑;1.0;750.0;ย 2์/๑
0.0;753;ย 1์/๑;0.0;754.0;ย 1์/๑
0.0;759;-;0.0;761.0;-
0.0;761;ั 2์/๑;-2.0;760.0;ั 2์/๑
-3.0;754;ว 3์/๑;-3.0;755.0;ว 3์/๑
-4.0;759;ั 3์/๑;-6.0;762.0;ั 3์/๑
-8.0;761;ัว 1์/๑;-8.0;759.0;ัว 1์/๑
-9.0;759;ั 2์/๑;-9.0;759.0;ั 2์/๑
-7.0;763;ัย 2์/๑;-9.0;765.0;ัย 2์/๑
-10.0;766;-;-13.0;766.0;-
-13.0;765;-;-14.0;765.0;-
-13.0;765;-;-14.0;764.0;-
-12.0;763;-;-16.0;763.0;-
-11.0;762;-;-12.0;761.0;-
-12.0;761;ย 1์/๑;-12.0;761.0;ย 1์/๑
-9.0;760;ย 3์/๑;-10.0;760.0;ย 3์/๑
-9.0;763;ย 3์/๑;-8.0;765.0;ย 3์/๑
-8.0;768;-;-11.0;768.0;-
-9.0;762;ว 1์/๑;-12.0;759.0;ว 1์/๑
-8.0;752;Þว 2์/๑;-10.0;751.0;Þว 2์/๑
-8.0;753;-;-8.0;755.0;-
-8.0;759;Þว 2์/๑;-10.0;759.0;Þว 2์/๑
-8.0;756;Þ 2์/๑;-12.0;755.0;Þ 2์/๑
-10.0;747;Þ 2์/๑;-12.0;744.0;Þ 2์/๑
-8.0;740;Þ 2์/๑;-9.0;741.0;Þ 2์/๑
-14.0;745;ว 2์/๑;-16.0;747.0;ว 2์/๑
-16.0;747;ย 2์/๑;-13.0;745.0;ย 2์/๑
-12.0;748;Þย 1์/๑;-13.0;748.0;Þย 1์/๑
-15.0;748;ว 1์/๑;-18.0;750.0;ว 1์/๑
-16.0;751;ว 2์/๑;-16.0;753.0;ว 2์/๑
-15.0;756;Þ 2์/๑;-17.0;756.0;Þ 2์/๑
-13.0;745;Þย 2์/๑;-13.0;744.0;Þย 2์/๑
-16.0;747;ย 2์/๑;-16.0;747.0;ย 2์/๑
-20.0;750;ั 3์/๑;-22.0;750.0;ั 3์/๑
-18.0;751;ว 1์/๑;-20.0;751.0;ว 1์/๑
-16.0;749;Þ 2์/๑;-12.0;746.0;Þ 2์/๑
-4.0;746;Þว 3์/๑;-6.0;749.0;Þว 3์/๑
-2.0;753;Þว 1์/๑;-2.0;753.0;Þว 1์/๑
-5.0;748;Þ 2์/๑;-2.0;750.0;Þ 2์/๑
-4.0;757;ั 3์/๑;-5.0;758.0;ั 3์/๑
-7.0;756;ย 5์/๑;-7.0;753.0;ย 5์/๑
-5.0;753;-;-8.0;753.0;-
-7.0;753;Þ 2์/๑;-7.0;755.0;Þ 2์/๑
-5.0;759;-;-5.0;761.0;-
-7.0;763;Þว 1์/๑;-8.0;763.0;Þว 1์/๑
-7.0;759;Þ 3์/๑;-11.0;758.0;Þ 3์/๑
-7.0;753;ย 3์/๑;-8.0;753.0;ย 3์/๑
-4.0;754;Þ 1์/๑;-8.0;754.0;Þ 1์/๑
-6.0;756;ย 1์/๑;-8.0;756.0;ย 1์/๑
-4.0;755;ย 1์/๑;-8.0;755.0;ย 1์/๑
-5.0;754;Þว 1์/๑;-9.0;753.0;Þว 1์/๑
-7.0;751;-;-12.0;751.0;-
-9.0;751;ย 2์/๑;-10.0;753.0;ย 2์/๑
-8.0;753;ย 2์/๑;-8.0;753.0;ย 2์/๑
-6.0;753;ัว 1์/๑;-10.0;754.0;ัว 1์/๑
-8.0;754;ว 1์/๑;-11.0;752.0;ว 1์/๑
-8.0;747;ว 2์/๑;-11.0;749.0;ว 2์/๑
-8.0;748;Þว 4์/๑;-11.0;753.0;Þว 4์/๑
-5.0;741;ว 3์/๑;-4.0;742.0;ว 3์/๑
-7.0;744;ย 2์/๑;-11.0;744.0;ย 2์/๑
-17.0;747;ัว 2์/๑;-18.0;750.0;ัว 2์/๑
-11.0;753;-;-10.0;754.0;-
-6.0;756;Þว 2์/๑;-12.0;756.0;Þว 2์/๑
-8.0;755;ย 2์/๑;-11.0;755.0;ย 2์/๑
-4.0;754;ย 3์/๑;-7.0;753.0;ย 3์/๑
-5.0;754;Þย 2์/๑;-5.0;754.0;Þย 2์/๑
-5.0;751;Þย 3์/๑;-7.0;751.0;Þย 3์/๑
-2.0;756;-;-3.0;756.0;-
-2.0;756;ย 2์/๑;-5.0;756.0;ย 2์/๑
-2.0;756;ย 3์/๑;-7.0;756.0;ย 3์/๑
-3.0;756;ย 2์/๑;-4.0;756.0;ย 2์/๑
-3.0;755;ย 1์/๑;-7.0;756.0;ย 1์/๑
-3.0;756;ย 2์/๑;-4.0;756.0;ย 2์/๑
-3.0;762;ย 3์/๑;-9.0;765.0;ย 3์/๑
-8.0;767;ย 3์/๑;-11.0;765.0;ย 3์/๑
-8.0;761;ย 3์/๑;-12.0;761.0;ย 3์/๑
-7.0;759;ย 1์/๑;-9.0;760.0;ย 1์/๑
-4.0;760;ย 1์/๑;-8.0;760.0;ย 1์/๑
-5.0;757;ย 2์/๑;-10.0;756.0;ย 2์/๑
-5.0;754;Þย 1์/๑;-7.0;753.0;Þย 1์/๑
-5.0;753;Þย 2์/๑;-5.0;753.0;Þย 2์/๑
-3.0;750;ย 3์/๑;-4.0;749.0;ย 3์/๑
1.0;745;ย 4์/๑;-3.0;745.0;ย 4์/๑
-1.0;742;ย 5์/๑;-2.0;741.0;ย 5์/๑
-1.0;750;Þ 1์/๑;-5.0;751.0;Þ 1์/๑
1.0;750;ัว 2์/๑;-5.0;750.0;ัว 2์/๑
0.0;751;-;-5.0;752.0;-
-2.0;751;-;-6.0;753.0;-
-2.0;756;ัย 1์/๑;-5.0;756.0;ัย 1์/๑
-3.0;757;ย 2์/๑;-6.0;756.0;ย 2์/๑
-3.0;751;ย 5์/๑;-4.0;748.0;ย 5์/๑
1.0;741;Þว 2์/๑;0.0;744.0;Þว 2์/๑
