ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
-12.0;762;Þย 1์/๑;-14.0;761.0;Þย 1์/๑
-14.0;760;ว 2์/๑;-13.0;760.0;ว 2์/๑
-9.0;756;ว 2์/๑;-9.0;753.0;ว 2์/๑
-8.0;741;ว 3์/๑;-5.0;741.0;ว 3์/๑
-9.0;740;ว 3์/๑;-9.0;739.0;ว 3์/๑
-8.0;742;ัว 3์/๑;-9.0;742.0;ัว 3์/๑
-7.0;747;ว 3์/๑;-9.0;747.0;ว 3์/๑
-1.0;740;ว 3์/๑;-2.0;741.0;ว 3์/๑
-6.0;745;ัย 2์/๑;-12.0;747.0;ัย 2์/๑
-17.0;748;ัว 3์/๑;-19.0;747.0;ัว 3์/๑
-16.0;749;ว 1์/๑;-16.0;749.0;ว 1์/๑
-19.0;755;ย 3์/๑;-22.0;759.0;ย 3์/๑
-15.0;764;ย 1์/๑;-20.0;765.0;ย 1์/๑
-12.0;763;ว 2์/๑;-16.0;761.0;ว 2์/๑
-10.0;755;ว 1์/๑;-17.0;754.0;ว 1์/๑
-11.0;746;ว 2์/๑;-12.0;744.0;ว 2์/๑
-8.0;743;ัว 3์/๑;-9.0;746.0;ัว 3์/๑
-11.0;752;ัว 3์/๑;-13.0;754.0;ัว 3์/๑
-13.0;758;ว 1์/๑;-16.0;757.0;ว 1์/๑
-12.0;746;ย 5์/๑;-11.0;743.0;ย 5์/๑
-16.0;751;ัว 3์/๑;-21.0;753.0;ัว 3์/๑
-16.0;756;ัว 2์/๑;-21.0;757.0;ัว 2์/๑
-15.0;758;ัว 4์/๑;-16.0;760.0;ัว 4์/๑
-12.0;760;ั 2์/๑;-21.0;761.0;ั 2์/๑
-7.0;755;ว 2์/๑;-8.0;755.0;ว 2์/๑
-11.0;759;ัว 1์/๑;-15.0;760.0;ัว 1์/๑
-10.0;761;Þว 2์/๑;-12.0;761.0;Þว 2์/๑
-8.0;761;Þว 2์/๑;-11.0;758.0;Þว 2์/๑
-7.0;746;Þ 3์/๑;-9.0;746.0;Þ 3์/๑
-8.0;746;ย 3์/๑;-9.0;747.0;ย 3์/๑
-8.0;752;ั 2์/๑;-12.0;755.0;ั 2์/๑
-6.0;755;Þย 1์/๑;-14.0;755.0;Þย 1์/๑
-11.0;746;Þว 3์/๑;-8.0;745.0;Þว 3์/๑
2.0;746;ัว 3์/๑;-2.0;749.0;ัว 3์/๑
1.0;743;Þว 5์/๑;1.0;743.0;Þว 5์/๑
2.0;740;Þว 3์/๑;1.0;740.0;Þว 3์/๑
1.0;741;Þย 3์/๑;0.0;740.0;Þย 3์/๑
1.0;740;Þ 3์/๑;0.0;739.0;Þ 3์/๑
2.0;738;Þว 1์/๑;1.0;740.0;Þว 1์/๑
2.0;738;Þว 2์/๑;1.0;737.0;Þว 2์/๑
0.0;743;ว 3์/๑;-3.0;744.0;ว 3์/๑
-2.0;745;Þว 3์/๑;0.0;746.0;Þว 3์/๑
1.0;752;ัว 2์/๑;-2.0;755.0;ัว 2์/๑
1.0;758;Þ 1์/๑;-3.0;758.0;Þ 1์/๑
-2.0;758;Þย 3์/๑;-3.0;757.0;Þย 3์/๑
1.0;752;Þย 3์/๑;0.0;752.0;Þย 3์/๑
1.0;752;Þ 3์/๑;0.0;754.0;Þ 3์/๑
4.0;758;Þ 2์/๑;-1.0;758.0;Þ 2์/๑
5.0;756;Þว 3์/๑;1.0;757.0;Þว 3์/๑
1.0;761;Þ 2์/๑;-2.0;762.0;Þ 2์/๑
-3.0;765;ย 1์/๑;-3.0;766.0;ย 1์/๑
-3.0;766;ย 2์/๑;-5.0;766.0;ย 2์/๑
-5.0;765;Þย 2์/๑;-6.0;764.0;Þย 2์/๑
-2.0;764;Þย 2์/๑;-7.0;763.0;Þย 2์/๑
-2.0;762;Þย 1์/๑;-6.0;762.0;Þย 1์/๑
1.0;760;Þว 2์/๑;-4.0;759.0;Þว 2์/๑
3.0;758;Þว 1์/๑;-7.0;758.0;Þว 1์/๑
-1.0;757;ย 2์/๑;-4.0;755.0;ย 2์/๑
0.0;754;ย 4์/๑;-4.0;754.0;ย 4์/๑
-2.0;755;ย 4์/๑;-3.0;754.0;ย 4์/๑
-4.0;752;Þย 2์/๑;-5.0;752.0;Þย 2์/๑
-4.0;752;Þย 3์/๑;-5.0;752.0;Þย 3์/๑
0.0;752;ย 3์/๑;-4.0;752.0;ย 3์/๑
2.0;752;ย 4์/๑;0.0;752.0;ย 4์/๑
2.0;754;ย 4์/๑;0.0;755.0;ย 4์/๑
1.0;755;Þ 1์/๑;0.0;754.0;Þ 1์/๑
5.0;754;ว 3์/๑;2.0;753.0;ว 3์/๑
3.0;740;Þว 3์/๑;1.0;742.0;Þว 3์/๑
2.0;746;ว 3์/๑;1.0;746.0;ว 3์/๑
3.0;739;Þ 3์/๑;1.0;737.0;Þ 3์/๑
3.0;733;ว 3์/๑;1.0;733.0;ว 3์/๑
-1.0;735;ัว 7์/๑;-3.0;739.0;ัว 7์/๑
-1.0;745;ัว 1์/๑;-3.0;747.0;ัว 1์/๑
-2.0;755;ัว 3์/๑;-4.0;756.0;ัว 3์/๑
0.0;755;Þว 4์/๑;-2.0;755.0;Þว 4์/๑
0.0;753;Þว 2์/๑;0.0;750.0;Þว 2์/๑
3.0;751;ัย 2์/๑;1.0;753.0;ัย 2์/๑
2.0;761;ัย 2์/๑;-3.0;761.0;ัย 2์/๑
4.0;759;ว 3์/๑;3.0;757.0;ว 3์/๑
7.0;754;Þว 2์/๑;3.0;753.0;Þว 2์/๑
9.0;750;Þย 2์/๑;7.0;750.0;Þย 2์/๑
8.0;748;Þย 3์/๑;7.0;747.0;Þย 3์/๑
14.0;747;ว 1์/๑;6.0;750.0;ว 1์/๑
7.0;751;ัว 2์/๑;4.0;751.0;ัว 2์/๑
14.0;749;ว 3์/๑;9.0;748.0;ว 3์/๑
16.0;744;ว 3์/๑;13.0;742.0;ว 3์/๑
10.0;749;ว 3์/๑;8.0;749.0;ว 3์/๑
15.0;742;Þ 2์/๑;9.0;739.0;Þ 2์/๑
8.0;735;ว 4์/๑;3.0;738.0;ว 4์/๑
10.0;744;ว 4์/๑;9.0;745.0;ว 4์/๑
14.0;746;ว 3์/๑;9.0;748.0;ว 3์/๑
4.0;753;ั 1์/๑;2.0;753.0;ั 1์/๑
5.0;749;ัย 3์/๑;2.0;748.0;ัย 3์/๑
2.0;744;ว 4์/๑;0.0;748.0;ว 4์/๑
6.0;750;ัว 3์/๑;4.0;749.0;ัว 3์/๑
0.0;740;ย 4์/๑;0.0;737.0;ย 4์/๑
13.0;744;Þว 3์/๑;10.0;745.0;Þว 3์/๑
9.0;734;Þย 2์/๑;7.0;736.0;Þย 2์/๑
11.0;749;Þว 3์/๑;7.0;752.0;Þว 3์/๑
13.0;757;ว 2์/๑;11.0;758.0;ว 2์/๑
17.0;758;ว 6์/๑;14.0;758.0;ว 6์/๑
20.0;758;Þว 4์/๑;17.0;758.0;Þว 4์/๑
23.0;759;ว 3์/๑;19.0;759.0;ว 3์/๑
25.0;761;ว 3์/๑;17.0;760.0;ว 3์/๑
26.0;760;Þย 3์/๑;21.0;759.0;Þย 3์/๑
25.0;757;Þ 3์/๑;19.0;755.0;Þ 3์/๑
27.0;749;Þว 4์/๑;18.0;749.0;Þว 4์/๑
17.0;750;ั 3์/๑;11.0;751.0;ั 3์/๑
10.0;749;ัว 4์/๑;7.0;748.0;ัว 4์/๑
17.0;740;ว 4์/๑;14.0;740.0;ว 4์/๑
13.0;744;ัย 2์/๑;9.0;746.0;ัย 2์/๑
24.0;742;Þว 2์/๑;20.0;740.0;Þว 2์/๑
24.0;734;ว 3์/๑;17.0;735.0;ว 3์/๑
13.0;743;ว 2์/๑;10.0;741.0;ว 2์/๑
10.0;744;ว 3์/๑;6.0;748.0;ว 3์/๑
14.0;749;Þว 4์/๑;4.0;749.0;Þว 4์/๑
12.0;754;ว 3์/๑;9.0;754.0;ว 3์/๑
14.0;754;ว 3์/๑;11.0;754.0;ว 3์/๑
14.0;757;ั 2์/๑;10.0;758.0;ั 2์/๑
16.0;756;Þ 2์/๑;12.0;755.0;Þ 2์/๑
16.0;755;Þย 2์/๑;14.0;754.0;Þย 2์/๑
20.0;754;Þ 1์/๑;16.0;753.0;Þ 1์/๑
18.0;752;ว 2์/๑;16.0;752.0;ว 2์/๑
23.0;746;ย 2์/๑;21.0;744.0;ย 2์/๑
14.0;737;ัว 2์/๑;13.0;737.0;ัว 2์/๑
12.0;741;ัย 2์/๑;10.0;742.0;ัย 2์/๑
13.0;746;ัว 3์/๑;9.0;748.0;ัว 3์/๑
20.0;750;ว 3์/๑;18.0;750.0;ว 3์/๑
25.0;750;ว 3์/๑;21.0;750.0;ว 3์/๑
23.0;748;Þ 2์/๑;18.0;747.0;Þ 2์/๑
24.0;742;ว 4์/๑;15.0;743.0;ว 4์/๑
12.0;744;ัย 2์/๑;3.0;745.0;ัย 2์/๑
10.0;749;ว 3์/๑;10.0;746.0;ว 3์/๑
19.0;742;ว 3์/๑;16.0;743.0;ว 3์/๑
20.0;746;ัว 1์/๑;16.0;746.0;ัว 1์/๑
27.0;737;ว 4์/๑;17.0;739.0;ว 4์/๑
23.0;737;ว 2์/๑;17.0;738.0;ว 2์/๑
7.0;735;ัว 4์/๑;6.0;738.0;ัว 4์/๑
13.0;745;ว 5์/๑;9.0;747.0;ว 5์/๑
13.0;751;ว 1์/๑;8.0;752.0;ว 1์/๑
19.0;747;ว 3์/๑;18.0;747.0;ว 3์/๑
16.0;748;ั 2์/๑;13.0;748.0;ั 2์/๑
17.0;746;ัว 3์/๑;13.0;746.0;ัว 3์/๑
18.0;749;ัว 2์/๑;14.0;749.0;ัว 2์/๑
24.0;749;ว 2์/๑;15.0;748.0;ว 2์/๑
18.0;746;ัว 2์/๑;17.0;744.0;ัว 2์/๑
21.0;742;ว 2์/๑;18.0;742.0;ว 2์/๑
25.0;741;ว 4์/๑;21.0;740.0;ว 4์/๑
